GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=acc_dam,1
16,num_simulations=1,1
16,sheet=3,0
21,scale=100,0
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,0
41,muR=12,1
41,sigmaR=1,1
84,gamma=0.45,1
84,vMax=700.0,1
84,beta=-0.08,0
165,FILLER,3
165,FILLER,2
165,FILLER,1
333,FILLER,7
333,FILLER,5
333,FILLER,6
660,FILLER,9
660,FILLER,12
660,FILLER,8
1320,FILLER,23
1320,FILLER,24
1320,FILLER,30
2010,FILLER,35
2010,FILLER,33
2010,FILLER,45
2670,FILLER,62
2670,FILLER,47
2670,FILLER,45
3329,FILLER,62
3329,FILLER,53
3329,FILLER,70
3990,FILLER,65
3990,FILLER,88
3990,FILLER,78
4679,FILLER,101
4679,FILLER,65
4679,FILLER,97
5340,FILLER,113
5340,FILLER,109
5340,FILLER,109
6000,FILLER,135
6000,FILLER,129
6000,FILLER,107
6600,FILLER,124
6600,FILLER,115
6600,FILLER,143
16500,FILLER,451
16500,FILLER,395
16500,FILLER,419
30570,FILLER,977
30570,FILLER,981
30570,FILLER,956
50099,FILLER,1810
50099,FILLER,1829
50099,FILLER,1792
66630,FILLER,2181
66630,FILLER,2205
66630,FILLER,2201
99899,FILLER,2300
99899,FILLER,2299
99899,FILLER,2300
133179,FILLER,2300
133179,FILLER,2300
133179,FILLER,2300
150000,FILLER,2300
150000,FILLER,2300
150000,FILLER,2300
