GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
16,simul_name=acc_dam,1,68,0,63,0,57,0,62,0,46,0,63,1,56,0,48,0,50,1,45
16,num_simulations=10,1,77,0,46,0,62,0,64,0,53,0,49,0,55,1,47,0,56,0,46
16,sheet=3,0,61,0,55,0,53,0,56,0,52,1,71,0,46,0,56,1,60,1,56
21,scale=100,0,74,0,69,1,61,0,73,1,66,1,72,0,64,0,84,0,50,0,69
21,cell_count=2300,0,72,1,76,0,73,0,59,0,75,2,56,3,100,0,74,0,61,0,55
21,muG=0,1,72,0,53,1,66,1,74,1,63,0,52,0,72,0,72,0,79,0,54
41,sigmaG=1,1,118,0,131,0,124,0,139,0,149,3,138,1,142,1,138,1,128,3,142
41,muR=12,1,135,1,138,0,128,1,123,1,140,2,148,0,128,1,129,3,142,1,122
41,sigmaR=1,1,125,0,126,0,114,0,131,2,133,1,120,2,144,1,130,1,141,1,143
84,gamma=0.45,2,258,0,267,1,262,5,287,0,280,3,265,2,293,2,263,4,282,0,293
84,vMax=700.0,1,276,2,286,0,261,1,318,1,297,4,272,1,314,1,269,2,261,1,276
84,remove=1,1,282,1,313,2,301,3,283,1,290,0,301,1,271,2,287,0,300,1,268
165,beta=-0.7,4,525,4,493,3,508,4,559,0,536,1,523,3,542,2,508,3,533,3,534
165,FILLER,3,561,2,538,1,583,3,531,2,521,3,564,2,529,4,597,2,552,2,525
165,FILLER,1,552,2,524,2,552,2,527,4,547,1,578,1,539,0,517,5,554,1,563
333,FILLER,5,1107,7,1048,5,1095,5,1117,7,1114,4,1088,5,1097,10,1066,5,1108,4,1116
333,FILLER,5,1044,4,1037,4,1069,10,1123,8,1098,3,1060,6,1090,1,1118,10,1075,8,1170
333,FILLER,4,1079,8,1019,5,1110,6,1112,6,1115,12,1122,3,1097,12,1073,1,1039,3,1062
660,FILLER,21,2245,19,2151,16,2160,16,2205,17,2237,12,2194,14,2167,19,2157,18,2197,15,2203
660,FILLER,10,2219,10,2096,11,2216,16,2190,13,2262,12,2112,20,2130,18,2170,13,2104,11,2184
660,FILLER,14,2171,13,2162,16,2243,8,2152,18,2156,8,2230,17,2162,26,2234,12,2183,19,2211
1320,FILLER,34,4361,42,4383,38,4167,31,4338,37,4398,32,4275,36,4407,31,4309,34,4234,37,4330
1320,FILLER,34,4181,39,4355,42,4447,43,4408,41,4259,30,4361,34,4291,33,4260,38,4354,34,4321
1320,FILLER,47,4368,33,4335,27,4316,36,4269,33,4269,22,4442,30,4358,35,4226,30,4330,37,4443
2010,FILLER,61,6575,65,6616,67,6636,70,6753,69,6589,79,6574,78,6485,57,6613,62,6560,65,6460
2010,FILLER,65,6575,66,6756,67,6617,58,6650,51,6469,70,6631,63,6584,60,6609,49,6586,67,6510
2010,FILLER,71,6520,54,6615,61,6422,53,6532,58,6630,55,6664,58,6701,65,6710,57,6789,58,6499
2670,FILLER,102,8937,106,8789,116,8797,123,8906,94,8725,102,8711,103,8883,102,8814,87,8803,103,8790
2670,FILLER,104,8885,105,8777,87,8827,107,8719,98,8862,94,8737,106,8763,105,8689,97,8841,132,8764
2670,FILLER,96,8874,105,8794,113,8960,103,8685,79,8795,97,8670,105,8776,97,8785,110,8937,95,8748
3329,FILLER,148,10987,140,10878,133,10986,149,10768,141,11019,125,10915,162,11027,150,10911,140,11001,146,10875
3329,FILLER,155,10891,156,10888,161,10950,140,10844,152,11103,139,10931,159,11035,173,11019,161,11005,145,10888
3329,FILLER,148,10915,143,10931,148,10809,174,11014,165,10958,153,11013,138,10843,162,11078,146,10960,147,10973
3990,FILLER,212,13113,206,13224,246,13104,231,13153,225,13112,219,13005,227,13258,224,12925,229,13093,246,13174
3990,FILLER,220,13042,199,13003,219,13061,201,13102,218,12851,229,12939,213,13107,225,13240,223,13211,211,13159
3990,FILLER,233,13170,215,13118,229,13082,224,13109,231,13195,231,13098,229,13060,214,13114,248,13026,236,13014
4679,FILLER,313,15472,285,15233,323,15538,336,15628,316,15658,329,15370,314,15407,307,15274,315,15415,318,15458
4679,FILLER,294,15470,278,15286,337,15343,315,15450,297,15247,309,15322,316,15323,315,15384,344,15443,302,15449
