GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
16,simul_name=acc_dam,0,49,0,59,0,59
16,num_simulations=3,0,54,0,59,1,72
16,sheet=3,0,47,0,53,0,61
21,scale=100,0,75,0,67,0,50
21,cell_count=2300,0,62,1,69,2,71
21,muG=0,0,52,1,73,0,63
41,sigmaG=1,0,124,0,131,0,119
41,muR=12,0,138,2,143,2,145
41,sigmaR=1,0,117,0,146,2,161
84,gamma=0.45,2,258,1,303,2,269
84,vMax=700.0,1,259,0,274,3,291
84,remove=1,2,283,1,299,2,270
165,beta=-0.7,2,555,4,549,4,520
165,FILLER,3,523,5,561,5,542
165,FILLER,4,571,3,514,5,549
333,FILLER,6,1102,8,1102,3,1080
333,FILLER,3,1076,6,1117,3,1079
333,FILLER,9,1096,6,1099,10,1106
660,FILLER,17,2103,24,2127,18,2145
660,FILLER,22,2246,9,2115,20,2207
660,FILLER,14,2123,9,2187,16,2148
1320,FILLER,32,4394,37,4374,30,4327
1320,FILLER,31,4269,38,4417,34,4293
1320,FILLER,33,4338,44,4316,33,4375
2010,FILLER,56,6570,69,6650,59,6797
2010,FILLER,74,6698,65,6580,51,6573
2010,FILLER,54,6457,56,6489,60,6501
2670,FILLER,107,8779,101,8785,115,8829
2670,FILLER,94,8669,78,8807,95,8790
2670,FILLER,124,8731,86,8799,122,8955
3329,FILLER,169,10972,146,11116,154,10818
3329,FILLER,138,10891,161,11129,146,10913
3329,FILLER,160,11240,164,10844,133,10938
3990,FILLER,199,13158,222,13089,188,12949
3990,FILLER,215,13045,227,13145,239,13422
3990,FILLER,236,13149,191,12997,218,13112
4679,FILLER,324,15509,315,15180,318,15451
4679,FILLER,308,15395,341,15488,339,15476
4679,FILLER,285,15531,335,15411,316,15402
5340,FILLER,418,17476,426,17453,421,17597
5340,FILLER,394,17222,381,17447,393,17505
5340,FILLER,411,17462,374,17236,401,17547
6000,FILLER,508,19633,543,19628,549,19543
6000,FILLER,545,19591,559,19660,560,19706
6000,FILLER,506,19622,520,19476,560,19767
6600,FILLER,645,21580,659,21849,699,21966
6600,FILLER,680,21577,666,21600,666,21617
6600,FILLER,688,21825,717,21672,671,21802
16500,FILLER,1822,45390,1800,45027,1800,44681
16500,FILLER,1844,45829,1817,44704,1794,44337
16500,FILLER,1853,45480,1806,44576,1801,44381
30570,FILLER,1071,47762,1060,48626,1077,48599
30570,FILLER,1066,47856,1069,47999,1071,48047
30570,FILLER,1067,48038,1069,48956,1059,48152
50099,FILLER,901,64806,893,65090,906,65134
50099,FILLER,899,65194,901,65078,896,65071
50099,FILLER,891,65379,899,65642,883,64973
66630,FILLER,843,81132,848,80991,845,81238
66630,FILLER,849,81266,844,80930,842,80648
66630,FILLER,845,81198,850,81121,847,81461
99899,FILLER,802,113963,803,113879,808,113919
99899,FILLER,804,114201,795,113903,809,114353
99899,FILLER,801,113532,804,114139,810,113934
133179,FILLER,786,147876,784,147503,785,147500
133179,FILLER,785,147409,781,146706,782,147130
133179,FILLER,787,147126,783,147060,786,147193
150000,FILLER,782,164429,775,164308,782,164300
150000,FILLER,782,164575,783,164749,784,164725
150000,FILLER,782,164122,778,164522,781,164204
