GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=acc_dam,0
16,num_simulations=1,0
16,sheet=3,0
21,scale=100,0
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,1
41,muR=12,0
41,sigmaR=1,1
84,gamma=0.45,3
84,vMax=700.0,1
84,beta=-0.8,0
165,FILLER,3
165,FILLER,3
165,FILLER,6
333,FILLER,4
333,FILLER,7
333,FILLER,2
660,FILLER,10
660,FILLER,14
660,FILLER,11
1320,FILLER,27
1320,FILLER,32
1320,FILLER,26
2010,FILLER,83
2010,FILLER,64
2010,FILLER,60
2670,FILLER,102
2670,FILLER,103
2670,FILLER,121
3329,FILLER,189
3329,FILLER,155
3329,FILLER,174
3990,FILLER,228
3990,FILLER,259
3990,FILLER,221
4679,FILLER,328
4679,FILLER,341
4679,FILLER,347
5340,FILLER,449
5340,FILLER,409
5340,FILLER,432
6000,FILLER,572
6000,FILLER,558
6000,FILLER,567
6600,FILLER,676
6600,FILLER,674
6600,FILLER,678
16500,FILLER,1735
16500,FILLER,1711
16500,FILLER,1764
30570,FILLER,2069
30570,FILLER,2049
30570,FILLER,2048
50099,FILLER,2176
50099,FILLER,2173
50099,FILLER,2162
66630,FILLER,2219
66630,FILLER,2228
66630,FILLER,2239
99899,FILLER,2273
99899,FILLER,2275
99899,FILLER,2267
133179,FILLER,2285
133179,FILLER,2294
133179,FILLER,2293
150000,FILLER,2293
150000,FILLER,2294
150000,FILLER,2296
