GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
163,simul_name=acc_dam,53,58,53
163,num_simulations=3,54,55,49
163,sheet=6,53,56,55
225,scale=100,83,81,73
225,cell_count=1700,74,79,75
225,muG=0,91,81,83
309,sigmaG=1,130,134,123
309,muR=12,125,130,120
309,sigmaR=1,127,131,129
425,gamma=0.45,194,186,201
425,vMax=70.0,190,186,198
425,beta=-1.0,187,167,168
583,FILLER,252,248,259
583,FILLER,244,263,268
583,FILLER,261,261,236
800,FILLER,304,322,323
800,FILLER,324,332,302
800,FILLER,322,316,333
1096,FILLER,390,358,365
1096,FILLER,386,367,359
1096,FILLER,385,377,368
1501,FILLER,403,412,404
1501,FILLER,403,415,424
1501,FILLER,419,425,434
2053,FILLER,462,458,464
2053,FILLER,449,440,447
2053,FILLER,480,437,425
2807,FILLER,492,483,466
2807,FILLER,484,482,477
2807,FILLER,482,502,472
3834,FILLER,485,512,506
3834,FILLER,486,497,504
3834,FILLER,496,495,496
5233,FILLER,513,532,509
5233,FILLER,517,495,549
5233,FILLER,502,541,520
7137,FILLER,559,521,558
7137,FILLER,540,574,543
7137,FILLER,558,562,545
9726,FILLER,558,575,570
9726,FILLER,557,578,558
9726,FILLER,571,578,556
13244,FILLER,592,578,599
13244,FILLER,575,604,596
13244,FILLER,602,563,582
18021,FILLER,607,607,596
18021,FILLER,586,608,610
18021,FILLER,580,607,603
24503,FILLER,648,620,648
24503,FILLER,633,652,637
24503,FILLER,625,641,633
33290,FILLER,660,660,662
33290,FILLER,641,634,678
33290,FILLER,661,637,647
45196,FILLER,684,678,661
45196,FILLER,675,675,657
45196,FILLER,663,668,667
61313,FILLER,715,683,724
61313,FILLER,690,673,691
61313,FILLER,675,697,689
83115,FILLER,725,709,706
83115,FILLER,710,706,707
83115,FILLER,724,709,710
112588,FILLER,738,744,736
112588,FILLER,721,738,718
112588,FILLER,702,730,719
152400,FILLER,764,769,733
152400,FILLER,740,726,741
152400,FILLER,754,745,736
