GFP genomes,GFP IU,Parameters
163,0,cell_count=1700
163,0,muG=0
163,0,sigmaG=1
225,0,muR=12
225,0,sigmaR=1
225,0,gamma=0.45
309,0,vMax=100000
309,0,scale=100
309,0,scheme=regular_polygon
425,0,dist=normal
425,0,vd_mean=230
425,1,FILLER
583,0,FILLER
583,1,FILLER
583,3,FILLER
800,1,FILLER
800,0,FILLER
800,0,FILLER
1096,0,FILLER
1096,0,FILLER
1096,1,FILLER
1501,1,FILLER
1501,0,FILLER
1501,0,FILLER
2053,1,FILLER
2053,1,FILLER
2053,1,FILLER
2807,0,FILLER
2807,1,FILLER
2807,3,FILLER
3834,9,FILLER
3834,2,FILLER
3834,3,FILLER
5233,3,FILLER
5233,0,FILLER
5233,6,FILLER
7137,2,FILLER
7137,5,FILLER
7137,2,FILLER
9726,0,FILLER
9726,2,FILLER
9726,5,FILLER
13244,9,FILLER
13244,7,FILLER
13244,6,FILLER
18021,13,FILLER
18021,14,FILLER
18021,7,FILLER
24503,17,FILLER
24503,9,FILLER
24503,8,FILLER
33290,14,FILLER
33290,22,FILLER
33290,15,FILLER
45196,21,FILLER
45196,14,FILLER
45196,17,FILLER
61313,30,FILLER
61313,29,FILLER
61313,39,FILLER
83115,39,FILLER
83115,47,FILLER
83115,51,FILLER
112588,61,FILLER
112588,58,FILLER
112588,61,FILLER
152400,88,FILLER
152400,76,FILLER
152400,84,FILLER
