GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,15,0,13,0,8,0,10,0,10,0,12,0,14,0,14,0,6,0,5,0,9,0,11,0,15,0,10,0,11,0,4,0,8,0,8,0,8,0,11,0,12,0,9,0,7,0,11,0,15,0,11,0,10,0,10,0,14,0,9,0,4,0,9,0,7,0,13,0,5,0,12,0,7,0,9,0,4,0,12,0,11,0,7,0,7,0,8,0,13,0,16,0,16,0,5,0,12,0,8,0,15,0,6,0,10,0,8,0,9,0,3,0,11,0,12,0,10,0,6,0,15,0,5,0,10,0,5,0,10,0,12,0,8,0,9,0,7,0,15,0,3,0,12,0,9,0,9,0,6,0,11,0,8,0,16,0,8,1,11,0,15,0,14,0,13,0,10,0,11,0,13,0,8,0,6,0,8,0,8,0,11,0,10,0,6,0,12,0,9,0,7,0,9,0,8,0,8,0,8
20.0,num_simulations=100,0,25,0,23,0,30,0,26,0,33,0,23,0,24,0,20,0,21,0,26,0,21,0,18,0,24,0,19,0,22,0,24,0,23,0,14,0,20,0,23,0,14,0,22,0,12,0,25,1,18,1,14,0,23,1,24,0,22,0,18,0,18,0,27,0,24,1,27,0,21,0,24,0,24,0,23,0,14,0,16,0,25,0,20,0,29,0,13,0,16,0,25,0,24,0,25,1,26,0,23,0,42,0,24,0,31,0,19,0,17,0,20,0,17,0,19,0,29,0,19,3,25,0,17,1,23,0,20,0,22,0,13,0,15,0,21,0,21,0,22,0,17,0,13,0,24,0,23,0,24,0,17,0,23,0,24,1,19,0,21,0,22,0,26,0,26,0,15,0,16,0,12,0,14,0,24,0,20,0,14,0,30,0,17,0,26,0,16,0,12,0,24,0,28,0,13,0,21,0,23
30.0,scale=1.0,0,27,0,30,1,32,0,39,0,58,0,29,0,32,0,31,1,32,0,57,0,41,0,26,0,39,0,31,0,32,0,15,0,30,0,29,0,50,0,31,0,38,0,25,0,46,1,38,0,67,1,25,0,47,1,38,0,27,0,29,0,42,0,35,0,43,0,53,0,28,0,47,0,37,0,29,0,29,0,25,2,43,0,43,0,30,0,34,0,24,0,29,0,185,0,50,0,31,0,28,0,24,0,33,0,48,0,28,0,59,0,41,0,77,1,27,0,25,0,41,0,34,0,26,0,34,2,38,0,36,0,35,0,34,0,29,0,28,1,37,0,65,0,26,0,45,0,18,0,37,0,40,0,27,1,38,1,28,1,47,0,34,0,134,0,29,0,50,2,37,1,26,0,40,0,30,0,35,0,62,0,39,1,41,0,35,1,37,0,28,0,35,0,26,1,30,0,31,0,29
40.0,cell_count=1000.0,0,39,3,158,1,72,0,66,2,52,0,53,0,42,0,39,1,57,0,46,0,54,1,70,0,57,0,51,0,62,0,65,0,48,0,80,0,86,2,38,0,47,0,69,1,43,0,47,0,56,1,53,0,61,0,51,0,28,0,111,2,48,2,58,0,67,1,70,0,36,0,38,2,51,0,61,0,72,0,45,0,54,0,48,0,55,1,43,1,42,2,57,0,165,0,41,0,63,0,55,0,34,0,51,0,58,0,76,0,51,0,49,0,57,0,61,0,50,1,46,1,139,0,50,0,43,1,42,1,53,0,56,1,56,0,45,0,49,0,47,0,47,1,57,0,36,0,46,0,73,1,44,0,46,0,78,0,35,1,60,0,54,0,52,0,57,0,44,0,55,0,43,1,167,0,43,0,51,0,29,0,40,2,85,0,36,0,52,0,45,0,88,0,61,0,37,0,42,2,282
50.0,muG=0.0,1,59,1,71,1,62,0,74,0,75,1,97,0,85,0,65,0,124,0,74,0,71,1,58,0,137,1,87,0,74,2,86,0,55,2,59,1,49,0,81,0,82,0,142,0,51,0,70,1,66,0,115,0,84,0,92,0,69,0,82,2,76,0,99,0,60,1,79,0,45,1,74,0,68,0,54,1,171,2,79,1,98,0,86,0,68,0,75,0,90,0,52,3,53,0,77,0,149,0,72,0,71,1,91,0,94,0,79,0,61,2,121,0,55,0,68,0,100,0,71,0,92,0,130,0,93,0,108,1,77,0,77,0,72,0,84,0,86,1,62,0,50,2,66,0,52,0,69,0,58,1,66,2,70,0,58,0,83,0,69,0,70,1,92,0,96,0,96,0,117,0,78,0,83,0,86,1,42,1,66,0,92,0,62,0,50,0,191,0,69,1,238,0,71,0,81,0,101,0,55
60.0,sigmaG=1.0,2,56,0,93,1,137,0,64,1,94,0,55,2,159,0,79,0,76,1,112,0,96,1,119,1,101,3,138,0,88,0,202,0,78,1,94,0,76,0,66,2,106,1,100,0,63,1,63,0,138,0,66,0,244,2,296,1,85,1,87,0,80,0,71,0,230,0,121,2,84,0,94,0,145,1,92,0,78,0,113,1,88,0,67,1,223,2,95,0,203,0,123,0,75,1,86,0,241,0,91,0,62,1,85,2,61,1,113,0,100,1,117,0,155,0,78,0,70,1,98,0,89,2,158,0,67,0,81,1,87,0,114,0,97,1,100,1,81,4,573,0,61,1,133,1,65,3,98,0,245,2,138,1,95,0,79,0,77,0,116,0,141,1,88,0,94,0,103,1,86,0,89,2,85,0,109,1,78,0,67,0,88,1,89,1,61,0,92,0,105,0,129,0,128,1,81,1,82,1,80
70.0,muR=12.0,1,152,1,112,3,150,1,123,2,84,0,109,0,126,0,79,1,93,0,158,3,198,0,119,1,120,0,124,0,107,2,127,0,180,0,100,2,152,1,185,2,170,1,101,0,158,1,108,2,93,2,189,2,100,1,172,2,156,0,115,1,336,0,145,1,104,0,114,1,110,0,107,1,138,0,130,1,128,2,102,0,130,1,226,0,102,2,123,0,82,2,153,1,141,0,118,0,262,0,124,0,177,0,269,0,133,0,137,0,155,1,107,1,119,1,111,0,124,1,125,0,226,0,136,0,230,0,119,0,106,0,140,1,157,1,104,0,122,1,90,0,90,1,108,3,189,2,113,2,154,0,173,1,102,1,115,1,117,1,83,1,134,0,107,1,174,0,142,0,149,1,116,0,140,1,115,3,135,0,77,1,104,1,292,1,121,0,132,0,120,1,112,0,139,1,217,0,79,1,122
80.0,sigmaR=1.0,1,118,0,179,0,177,2,148,3,194,1,184,2,238,3,304,4,537,2,230,1,156,0,135,1,145,2,244,1,143,1,299,3,431,1,260,4,306,0,142,3,130,0,146,1,174,0,137,1,166,0,122,0,86,1,278,0,209,2,162,1,146,0,114,0,142,0,75,1,173,2,208,0,344,0,142,1,225,2,245,0,117,1,137,1,116,1,143,2,328,0,135,0,145,2,205,2,171,2,232,3,261,1,108,0,105,0,122,1,151,0,145,0,139,0,145,3,145,0,141,1,242,0,195,0,153,0,186,1,215,3,234,0,95,1,181,0,117,1,160,1,155,0,105,0,152,2,129,1,125,1,171,7,732,0,121,2,127,0,289,1,183,3,165,1,153,1,191,1,131,3,321,2,130,1,209,1,234,0,121,1,111,0,150,0,130,0,310,1,215,2,177,2,211,0,129,2,160,1,122
90.0,gamma=0.45,2,219,1,182,3,175,3,164,1,194,2,220,1,324,4,581,2,158,0,188,0,194,0,128,2,204,0,280,2,170,1,249,3,134,0,131,0,150,2,135,3,108,0,224,2,150,1,210,1,266,0,141,0,193,0,165,0,187,2,157,1,307,0,206,3,273,1,238,1,301,0,218,1,283,1,113,0,165,0,140,1,186,0,195,0,200,0,175,2,226,0,169,3,176,0,141,1,276,0,189,1,221,0,115,3,215,2,148,1,121,4,176,1,249,1,167,1,183,1,119,3,189,2,243,0,219,0,310,0,195,0,171,1,209,2,269,3,220,3,180,1,169,4,395,1,180,1,164,2,197,1,133,1,149,2,149,2,134,3,173,1,158,2,204,0,150,1,202,1,181,2,267,1,185,2,173,2,145,0,169,2,179,1,110,1,195,4,494,3,292,1,188,0,195,1,236,1,196,3,142
100.0,vMax=1000.0,4,195,0,157,0,126,0,203,2,321,0,170,2,189,1,151,1,301,0,193,0,488,0,237,2,365,2,252,1,175,1,515,1,224,2,248,2,290,0,218,0,236,2,213,3,267,0,183,1,194,3,327,1,180,1,321,3,205,2,105,0,219,0,197,0,189,0,227,2,227,1,226,0,208,1,275,0,228,4,219,1,219,1,243,4,222,1,208,2,215,1,392,0,114,1,173,3,242,1,190,0,173,2,353,0,194,1,196,2,259,1,157,0,183,0,208,0,241,0,191,0,278,1,256,0,322,1,238,0,175,4,246,1,264,2,194,1,144,0,218,1,315,2,231,1,145,3,207,0,159,0,184,1,196,3,348,1,183,0,209,1,203,1,170,1,336,2,180,1,189,2,204,2,210,0,328,2,243,4,195,3,434,4,328,0,202,1,152,2,210,2,456,1,198,2,185,1,216,0,189
