GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,11,0,11,0,7,0,12,1,32,0,5,1,37,0,10,0,8,0,13,0,12,0,18,0,11,0,24,0,12,0,8,0,11,0,7,0,8,0,15,0,19,0,39,0,12,0,10,0,21,0,11,0,12,0,18,0,13,0,34,0,8,0,20,0,14,0,17,1,25,1,28,0,18,0,12,0,15,0,11,0,16,0,9,0,11,0,27,0,22,0,11,0,9,0,13,0,4,1,11,0,17,0,4,0,10,0,9,0,9,0,19,0,10,0,16,0,16,0,9,0,9,0,9,0,32,0,31,0,10,0,16,0,8,0,9,0,15,0,11,0,10,0,22,0,14,0,22,0,9,0,44,0,17,0,13,1,22,1,24,0,13,0,7,0,8,0,14,0,16,0,13,0,12,0,7,0,7,1,14,0,7,0,6,0,15,0,8,0,2,0,3,0,10,0,10,0,5,0,14
20.0,num_simulations=100,0,26,0,19,0,23,0,29,0,24,0,43,0,16,0,22,1,22,0,10,1,18,0,54,1,40,0,44,0,46,0,24,0,76,0,25,0,22,0,39,0,44,0,63,0,27,0,26,0,35,1,32,0,26,0,36,0,38,0,106,0,25,0,46,0,30,0,17,0,29,0,21,0,30,0,53,1,30,0,25,0,28,0,29,0,30,3,195,0,40,0,25,0,26,0,28,0,23,0,22,0,21,1,67,0,43,0,79,0,25,0,34,0,34,0,16,0,21,0,24,0,18,0,33,0,28,0,51,1,37,0,65,0,44,0,20,0,31,0,29,0,25,0,52,0,18,0,51,0,20,0,14,0,27,0,25,0,26,0,23,0,31,0,38,0,25,1,27,0,31,0,18,0,27,0,18,0,28,0,36,0,42,0,38,0,25,0,76,0,18,0,24,0,17,0,38,0,35,0,24
30.0,scale=1.0,1,185,1,147,1,144,0,46,0,28,0,37,1,91,0,54,1,98,0,45,1,49,1,41,0,52,0,127,0,52,2,146,0,54,0,31,1,55,0,70,0,54,0,35,0,34,0,67,0,33,0,37,0,86,0,67,1,104,0,50,0,63,0,50,0,227,0,31,0,47,0,99,1,38,0,42,0,38,1,39,0,136,1,111,0,42,0,65,0,28,1,119,0,50,0,35,1,97,1,39,0,29,1,168,0,36,0,40,2,160,0,35,0,32,0,58,0,50,0,111,0,42,0,36,0,47,0,41,1,77,0,32,1,72,2,85,0,48,1,88,0,77,0,64,1,64,1,44,1,211,1,78,0,33,1,60,0,135,1,47,0,30,3,126,1,82,1,167,0,29,0,72,0,191,0,89,1,51,2,58,1,62,2,35,0,73,0,43,0,50,0,53,0,57,0,74,0,53,0,38
40.0,cell_count=1000.0,0,169,0,130,0,81,2,47,0,66,1,122,2,105,1,81,0,137,0,147,1,165,0,89,1,167,1,66,0,93,3,94,0,89,1,84,0,101,4,74,0,61,2,57,4,219,0,68,2,111,0,102,0,79,0,71,2,130,1,120,0,62,1,106,2,96,0,72,0,61,0,91,1,101,1,148,1,127,0,129,0,55,0,61,0,29,0,65,1,77,0,123,1,87,0,60,1,86,0,101,0,93,1,57,0,223,3,264,1,104,0,42,0,101,0,54,0,80,0,92,1,101,0,36,0,79,1,233,0,59,0,104,1,107,1,67,1,111,0,86,1,63,0,170,0,78,0,51,2,103,0,69,0,75,1,144,0,65,1,109,0,64,0,90,0,198,0,46,0,77,1,83,0,86,0,49,0,80,0,53,0,49,0,108,0,74,1,112,1,88,2,110,0,92,0,97,0,60,0,157
50.0,muG=0.0,0,106,0,99,0,159,0,210,1,221,1,125,1,131,0,111,0,121,0,129,0,119,2,257,2,180,2,113,1,134,0,88,1,81,0,167,1,104,2,177,1,124,2,239,1,194,1,99,0,113,1,79,4,349,1,143,0,218,1,117,2,112,0,181,1,117,1,130,1,165,0,96,0,115,1,201,0,104,1,154,0,84,0,100,0,94,3,130,1,155,0,84,0,203,0,112,2,125,2,166,0,69,1,192,2,319,0,144,1,212,1,163,0,112,0,141,0,75,2,269,1,85,0,303,0,88,2,93,1,149,1,175,0,72,0,147,1,157,2,154,0,160,0,96,0,181,1,175,2,265,3,228,0,180,0,83,0,221,0,116,2,110,1,83,0,136,0,100,0,122,0,185,0,133,0,179,0,63,1,88,0,111,1,249,1,155,0,129,2,316,0,126,1,96,0,66,2,191,2,161
60.0,sigmaG=1.0,0,126,0,149,0,257,3,118,1,165,1,286,1,273,5,155,1,131,3,125,1,115,2,179,1,101,1,104,1,170,2,219,1,122,2,166,0,175,1,179,1,125,2,155,1,197,1,163,1,150,0,105,3,93,0,187,0,141,2,162,0,123,1,107,1,144,0,92,0,224,0,108,1,110,0,140,1,110,0,150,0,204,0,88,0,149,1,219,1,220,0,86,0,137,1,156,0,152,0,92,0,67,3,343,1,110,1,452,0,116,0,109,0,198,1,151,1,143,1,167,3,237,2,183,2,109,0,137,1,91,0,192,0,150,1,131,0,279,1,229,0,115,2,198,0,173,0,117,0,192,3,167,1,145,1,124,0,152,1,143,1,233,2,208,1,132,1,258,2,176,1,207,1,141,1,182,0,105,1,186,1,161,2,175,1,250,0,80,0,128,0,137,2,187,1,174,0,95,0,169
70.0,muR=12.0,1,171,2,190,2,130,0,308,0,258,3,266,1,191,2,160,1,179,1,160,0,330,1,184,2,185,0,187,1,190,1,204,0,322,1,201,1,215,2,205,1,204,2,302,0,233,1,186,0,261,1,213,1,273,2,215,2,190,0,155,1,154,1,265,2,196,1,168,0,215,1,142,3,174,2,258,1,162,1,197,1,129,0,196,2,260,0,240,2,222,1,300,1,188,1,214,0,278,0,226,1,204,0,227,1,410,0,224,0,186,1,114,0,136,3,213,1,219,0,201,3,166,3,322,0,117,2,171,0,421,0,133,0,123,3,257,3,148,1,240,0,187,0,241,5,224,0,220,0,184,2,205,0,277,1,167,2,209,3,223,1,126,2,155,0,157,1,289,1,291,1,242,2,300,3,334,0,152,1,197,2,254,1,140,0,210,0,306,0,436,0,136,2,340,3,186,2,191,2,272
80.0,sigmaR=1.0,0,147,3,394,1,189,1,186,2,222,1,188,1,195,2,188,4,185,0,227,2,219,1,169,1,253,0,168,2,350,3,387,2,220,0,219,1,161,4,372,3,399,0,265,0,190,1,313,3,241,0,200,1,242,1,478,2,393,2,441,3,207,1,155,1,158,0,147,0,189,3,166,1,256,1,257,1,364,2,195,1,248,2,207,2,223,0,225,1,199,1,198,1,262,3,332,2,205,6,267,0,271,2,239,2,311,0,192,2,201,0,248,2,235,2,233,3,209,1,225,2,200,3,385,3,198,1,149,1,310,2,229,0,133,3,194,1,243,1,219,1,189,3,172,2,198,0,196,0,491,3,196,0,186,3,234,0,176,0,214,1,191,1,389,0,223,1,241,2,208,2,142,1,306,2,209,1,244,1,296,2,335,1,205,2,285,1,374,0,212,1,130,0,322,1,242,1,345,0,192
90.0,gamma=0.45,1,242,2,267,0,238,1,353,2,180,1,390,1,260,2,354,0,272,1,309,0,323,2,346,1,249,1,310,1,239,1,222,3,228,3,264,0,407,0,218,3,230,3,316,0,296,2,397,1,285,2,269,2,305,1,254,2,207,1,327,2,238,5,248,7,778,3,289,3,364,1,422,2,567,1,233,3,301,1,307,2,275,0,315,0,268,2,440,1,305,1,219,1,244,5,338,1,179,1,289,1,302,3,274,1,207,0,278,1,398,1,254,1,259,2,353,0,259,3,316,1,187,0,281,0,365,1,424,1,266,2,363,3,289,1,389,1,268,1,255,4,356,4,467,0,298,1,248,0,325,0,240,2,339,1,238,2,218,4,390,2,307,3,469,2,381,2,268,4,235,2,163,2,320,3,312,2,619,1,288,0,232,1,400,0,279,1,265,0,255,1,280,5,310,1,371,1,325,2,382
100.0,vMax=1000.0,2,455,1,222,2,416,1,357,1,411,1,267,2,331,4,269,3,324,0,290,2,407,2,447,3,336,1,339,2,308,1,253,1,312,0,279,0,616,1,255,1,273,1,323,1,223,0,341,4,299,1,288,2,250,1,351,2,285,0,373,2,399,3,415,2,284,0,228,2,493,4,451,0,183,3,265,6,347,5,520,2,296,2,578,1,403,0,274,2,395,1,274,0,312,2,359,4,284,5,300,2,297,3,329,1,302,2,326,4,323,1,348,1,246,0,293,2,498,3,466,1,277,2,327,2,307,1,265,3,233,0,300,3,283,0,354,1,282,2,469,2,283,1,238,1,261,0,208,1,242,1,173,1,271,3,257,1,346,1,264,1,281,0,263,1,329,1,313,0,271,2,403,2,288,2,311,2,227,2,292,0,250,0,274,2,300,2,310,4,382,4,413,2,271,2,422,0,275,0,262
200.0,remove=1,3,689,5,835,6,732,12,831,2,781,4,1009,4,704,2,707,6,763,5,592,3,698,4,857,4,803,4,754,5,879,3,837,6,641,4,838,3,1070,2,777,6,747,2,704,2,588,4,930,3,689,4,798,8,804,6,736,3,708,1,736,6,876,5,815,4,1037,1,819,7,722,3,750,4,591,5,637,2,710,4,727,5,961,2,647,4,940,7,796,12,1527,4,763,2,1176,6,654,2,699,3,464,5,631,3,431,3,748,8,977,5,678,3,629,1,907,6,948,2,826,2,687,2,887,3,849,3,706,4,812,2,682,2,712,4,705,3,812,4,1241,4,1162,5,776,7,869,8,643,2,808,3,759,4,820,4,731,3,878,1,674,1,719,2,603,3,875,2,578,1,588,5,617,5,729,7,842,3,561,5,823,4,800,6,796,2,800,5,813,1,664,7,801,1,767,5,855,6,860,4,779,5,871
300.0,distribution=geometric,7,1149,5,1009,2,1213,6,1335,0,1078,7,1175,4,1321,9,1202,7,1297,7,1406,7,1242,7,1099,9,1234,7,1398,4,1012,10,1717,9,1370,7,1391,14,1237,8,1150,6,1151,8,1139,6,1313,5,1323,7,1083,3,1314,4,1323,3,1108,6,912,4,1028,10,1489,8,1303,9,1087,3,887,3,1242,9,1359,5,1276,8,1242,8,1384,10,1136,2,1103,6,1234,6,1013,7,1447,4,1104,11,1202,6,1217,13,965,4,1334,10,1391,4,1110,2,1156,7,1399,8,1065,8,1403,4,1138,10,1213,8,1208,11,1144,8,1390,5,1114,8,1143,7,1241,8,1170,9,1463,5,1171,7,1403,5,957,8,1183,13,1063,10,1543,4,1118,3,932,11,1346,6,1298,7,1355,4,1023,8,1026,4,1158,7,1267,4,1169,3,1124,6,1160,10,1352,4,1452,4,1229,5,1066,9,1207,4,1303,7,1177,9,1371,10,1168,5,1459,6,1430,5,1133,11,1243,7,1585,9,1053,8,1330,5,1142
400.0,fixed_mean=True,14,1618,9,1690,7,1300,9,1437,7,1663,13,1894,11,1818,10,1791,10,1490,5,1469,7,1669,11,1662,3,1687,12,2048,6,1925,4,1605,6,1711,12,1488,8,1317,9,1853,3,1577,9,1479,14,1531,9,1796,10,1709,5,2138,12,1862,5,1917,4,1668,8,1619,8,1686,6,1764,6,2005,8,1968,14,1817,3,1789,10,1427,12,1964,9,1764,10,1543,11,2043,7,1600,8,1660,7,1916,10,1777,8,1996,10,1450,8,1662,20,1850,12,2114,9,1527,10,1490,15,1931,6,1580,5,1507,9,1604,7,1826,3,1409,9,1755,7,1619,11,1429,9,1534,8,1414,7,1698,16,1771,8,1100,14,1988,12,2150,11,1588,6,1560,12,1703,12,1732,9,2154,5,1790,7,2125,9,1442,8,1836,6,2029,8,1593,5,1621,11,1733,8,1594,11,1519,8,1561,14,1588,7,1761,6,1737,10,1957,12,1429,7,1884,13,1589,15,1746,9,1631,9,1838,7,1869,12,1791,4,1764,8,2033,15,2219,14,2021
500.0,mean=0.3,6,1845,7,1790,9,2102,9,1627,10,2857,14,2014,14,2164,14,2580,12,1855,10,2335,11,2052,15,2539,7,1964,6,2149,18,2076,18,2582,26,2643,11,1961,13,2604,15,2250,9,1938,13,2518,4,2209,6,2113,14,2114,8,2302,13,2177,18,2370,9,2266,13,2187,17,2205,15,2482,15,2533,13,2554,7,2308,8,2814,10,1933,12,2196,11,2271,21,2677,12,2267,13,2253,13,2210,15,2089,11,2276,12,2295,9,2043,10,2635,18,2526,7,2220,16,2193,6,2460,5,2444,9,1869,11,2237,12,1780,18,2271,8,3131,10,2058,10,2563,21,2987,6,2186,14,2151,9,1866,8,2504,11,2239,11,2194,9,1799,15,2435,12,2193,13,2529,10,2471,13,2830,12,2288,15,2726,14,2600,18,2145,18,2428,16,2326,10,2345,15,2245,12,2391,17,2252,13,1928,9,2055,13,2367,7,2869,7,1873,17,2104,12,1881,13,2322,11,2499,14,2817,14,2150,16,2626,11,2940,13,2088,11,1977,12,2388,2,1983
600.0,FILLER,8,2362,20,2625,14,2729,23,3149,12,2342,11,2082,11,2515,14,2765,19,3091,20,3023,18,3441,17,2709,7,2705,17,2820,14,2828,13,2606,15,2975,13,2981,14,2970,19,3252,9,2339,16,2735,9,2231,17,3279,13,2571,8,2551,15,2176,14,2252,18,2376,19,2607,17,2677,15,2960,12,2771,20,2654,10,2528,10,2933,19,2947,12,2518,18,3122,12,2701,13,3326,10,2135,15,2992,16,2808,22,3640,16,2653,11,2450,12,3151,18,2381,23,3301,13,2335,17,2781,13,2531,17,3211,17,3487,14,3171,17,2125,21,2900,13,2758,17,2258,10,2064,13,2520,16,2459,12,2601,13,2822,8,2484,12,2619,16,2950,20,3247,11,2164,19,2693,16,2988,15,2610,23,3615,9,2294,8,2710,18,3169,8,1955,14,2366,12,2499,9,2725,20,2570,13,2869,18,3415,13,2693,14,3239,19,2836,18,2794,10,2252,11,2201,14,2667,11,2257,13,2612,19,3223,11,2250,15,2469,11,2169,10,3023,6,1961,26,3374
700.0,FILLER,18,2746,13,2364,20,3559,22,3632,15,3031,14,2408,19,3828,18,2886,14,2610,8,3152,17,3108,27,3235,15,2997,24,3129,20,3586,16,2966,18,3297,12,3241,26,3845,12,2518,19,3949,15,2855,19,3432,18,2654,10,2785,11,3593,18,3214,14,3305,14,3222,17,2825,15,2859,15,2844,22,3858,13,2723,23,3904,9,2503,15,2705,14,3430,13,2607,21,2951,13,2608,17,3339,16,2943,14,2728,15,3300,18,3488,16,2673,15,3263,16,3490,10,2818,28,4444,12,2179,13,2485,19,3853,19,3348,9,3094,14,3757,26,3988,24,3832,13,2838,15,2861,17,3202,18,3292,16,3242,23,3269,15,3247,21,3375,18,3283,8,2536,22,3454,13,2771,17,3688,18,2517,10,3739,11,2576,20,3596,19,3735,17,3837,13,2435,18,2961,15,2969,13,3303,13,3209,16,3463,17,2967,17,2832,13,2667,20,2826,14,3343,19,3551,15,2774,16,3041,20,3035,18,3445,20,2968,21,3194,15,3041,11,3438,27,3605,21,3665
