GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
10.0,simul_name=clump,0,11,0,6,1,14,0,10,0,8,1,6,0,7,0,13,0,7,0,10
20.0,num_simulations=10,0,24,0,19,0,24,0,29,0,21,0,31,0,16,0,19,0,27,0,25
30.0,scale=1.0,0,54,1,37,1,35,0,45,0,44,1,37,1,45,0,25,1,32,0,40
40.0,cell_count=1000.0,1,59,0,38,0,62,1,57,1,55,0,71,2,50,0,51,0,59,1,64
50.0,muG=0.0,1,71,2,69,0,63,0,104,2,86,0,95,1,80,2,82,1,99,0,91
60.0,sigmaG=1.0,0,102,1,115,1,117,0,105,0,78,1,106,0,95,0,92,0,126,0,85
70.0,muR=12.0,1,116,0,129,1,168,0,126,0,101,0,110,0,107,0,123,0,112,0,130
80.0,sigmaR=1.0,1,180,3,162,0,131,0,145,0,142,1,168,0,114,0,137,0,159,1,170
90.0,gamma=0.45,0,206,2,208,2,200,0,175,1,163,2,214,2,200,1,191,2,165,2,202
100.0,vMax=1000.0,3,221,2,218,0,183,1,202,1,214,1,225,1,207,1,198,2,242,5,279
200.0,remove=1,4,724,3,592,3,642,5,675,3,620,2,636,3,683,3,669,2,610,0,674
300.0,distribution=poisson,11,1181,9,1312,6,1300,5,1172,12,1245,9,1217,5,1226,4,1072,11,1230,1,1156
400.0,fixed_mean=False,13,2107,11,2142,8,1746,6,2102,13,2088,12,1919,10,1995,12,1902,10,1949,8,2132
500.0,vMax_c=100.0,16,2829,14,2910,16,3021,12,3205,18,2902,20,3215,15,2968,19,2910,13,2773,16,2909
600.0,FILLER,22,4113,19,4313,24,4057,29,4116,18,4254,13,4095,21,4085,26,3900,27,4479,26,4349
700.0,FILLER,27,5443,28,5564,23,5228,32,5148,24,5357,32,5786,28,5683,27,5165,35,5297,38,5551
800.0,FILLER,39,6620,30,7241,30,6340,30,6672,31,6371,35,5930,32,6949,28,7093,37,7407,41,6998
900.0,FILLER,40,8332,49,8246,41,8289,52,8816,47,8553,54,9280,44,9141,40,9034,39,7966,34,9102
