GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31
10.0,simul_name=clump,0,12,0,17,0,4,0,7,0,5,0,13,0,11,0,13,0,10,0,12,0,9,0,9,0,9,0,8,0,10,0,10,0,13,0,13,0,11,0,15,0,10,0,10,0,5,0,7,0,6,0,12,0,17,0,10,0,8,0,11,0,10,1,10
20.0,num_simulations=100,0,29,0,29,0,25,0,31,0,24,1,24,0,25,1,24,0,11,1,29,0,22,1,20,0,29,0,28,0,30,0,24,0,22,0,27,0,27,0,16,1,18,1,21,0,24,1,21,0,21,1,20,0,25,0,15,1,17,0,18,1,29,0,28
30.0,scale=1.0,0,38,0,48,0,29,0,40,0,44,0,44,0,39,0,45,1,48,0,32,0,55,0,38,0,46,0,39,0,42,0,50,0,41,0,43,1,43,0,33,0,51,0,38,0,35,0,46,0,31,0,36,1,32,0,37,0,29,0,42,0,33,0,35
40.0,cell_count=1000.0,1,64,0,55,1,54,0,48,1,55,0,64,1,48,1,47,0,65,0,67,0,79,0,67,0,40,2,63,1,53,0,47,0,65,1,64,0,62,2,66,0,55,0,46,0,58,1,52,0,57,0,50,0,56,0,50,0,61,0,40,1,53,0,48
50.0,muG=0.0,0,95,0,88,0,91,0,99,1,90,0,69,0,113,0,74,0,60,0,90,0,85,1,82,1,94,0,118,0,81,0,90,0,90,0,85,1,81,1,72,0,74,2,80,1,94,0,82,0,74,0,68,0,91,2,75,0,113,2,81,1,71,1,65
60.0,sigmaG=1.0,1,128,0,115,0,93,0,100,1,127,0,129,1,105,2,123,0,104,1,153,0,116,0,60,1,128,0,96,1,109,3,97,0,99,1,94,0,136,0,99,1,85,0,89,0,115,2,108,0,78,1,120,2,109,0,83,0,108,3,124,0,102,0,83
70.0,muR=12.0,2,144,1,118,0,98,0,118,2,133,0,120,2,111,0,128,0,115,2,144,3,137,0,110,2,165,0,135,0,125,0,155,0,129,1,111,0,152,1,114,2,122,0,146,1,144,0,99,1,108,0,140,2,119,1,138,1,124,1,128,2,119,3,132
80.0,sigmaR=1.0,1,140,2,150,0,115,0,170,0,173,1,159,1,137,0,143,1,154,3,160,0,136,3,176,0,142,0,134,0,132,0,172,0,158,0,145,0,168,1,180,0,162,1,166,1,183,0,150,0,143,0,159,0,128,1,118,1,178,0,165,0,151,0,142
90.0,gamma=0.45,3,190,1,194,0,187,0,231,3,234,0,200,0,187,2,160,7,217,0,152,0,150,2,186,1,175,0,183,0,206,1,174,3,227,2,207,2,203,0,167,0,206,2,215,2,190,0,233,1,206,1,227,1,218,1,196,0,190,2,202,1,182,2,237
100.0,vMax=1000.0,0,234,2,240,1,234,0,226,2,264,0,202,1,236,2,218,0,249,0,251,0,232,0,229,1,235,3,265,1,245,1,268,2,226,3,282,1,227,5,196,0,248,0,211,1,237,4,221,0,275,1,215,1,218,2,218,1,264,0,284,1,245,1,221
