GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
10.0,simul_name=clump,0,10,0,11,0,17,0,7,0,15,0,10,0,10,0,10,0,12,0,6
20.0,num_simulations=10,0,14,0,17,1,26,0,28,0,31,0,34,0,24,1,19,0,14,0,22
30.0,scale=1.0,0,25,0,36,0,30,0,58,0,28,0,37,0,39,2,29,0,27,0,51
40.0,cell_count=1000.0,2,67,0,52,0,68,0,47,0,53,0,50,0,53,1,61,0,52,0,64
50.0,muG=0.0,1,91,1,96,0,62,1,87,1,65,0,106,0,73,0,105,0,100,0,86
60.0,sigmaG=1.0,2,132,1,100,0,104,0,92,1,109,0,97,2,104,1,96,1,103,1,96
70.0,muR=12.0,1,135,0,138,0,149,1,118,1,141,2,115,2,135,1,132,0,140,0,85
80.0,sigmaR=1.0,0,161,2,120,0,136,0,157,0,142,0,134,1,160,2,165,1,172,4,157
90.0,gamma=0.45,2,190,2,198,0,157,1,167,1,159,0,151,2,204,1,220,0,191,2,194
100.0,vMax=1000.0,0,219,2,219,0,244,4,216,0,269,2,266,2,231,1,222,1,243,0,245
200.0,remove=1,2,646,5,740,4,696,5,549,3,572,6,635,1,696,0,629,3,649,3,718
300.0,distribution=poisson,8,1114,11,1238,8,1130,11,1183,9,1265,7,1228,12,1325,9,1294,9,1270,11,1173
400.0,fixed_mean=False,11,2285,7,2019,11,1954,13,2128,6,2163,14,1914,5,1954,11,2026,10,1906,11,1960
500.0,vMax_c=100.0,14,3033,14,3009,13,3089,13,2844,18,3136,15,2840,10,2819,19,2779,13,3124,10,2962
600.0,FILLER,15,4112,14,3994,18,4257,31,4013,21,3906,30,4055,21,4038,20,4528,23,4431,26,4240
700.0,FILLER,31,5431,29,5084,31,5374,33,5252,29,4947,34,5144,27,5704,30,5761,30,5471,26,5427
800.0,FILLER,48,6701,31,6256,35,6850,30,6511,31,6743,30,6586,37,7067,36,6428,37,6554,26,6912
900.0,FILLER,43,8130,39,8772,36,8441,44,8044,59,8720,43,7894,45,7574,34,9089,39,8381,48,8881
