GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,17,0,12,0,13,0,8,1,12,0,10,0,15,0,5,0,15,0,9,0,7,0,13,0,7,0,6,0,7,0,10,0,4,0,10,0,10,0,5,0,12,0,10,0,9,0,10,0,14,0,10,0,3,0,7,0,9,0,9,0,11,0,6,0,10,0,12,1,7,0,9,0,11,0,4,0,11,0,13,0,9,0,9,0,5,0,13,0,9,0,8,1,8,0,1,0,11,0,13,0,11,0,9,0,11,0,11,0,11,0,9,0,9,0,13,0,8,0,9,0,13,0,12,0,11,0,13,0,7,0,12,0,9,0,11,0,9,0,9,0,7,0,11,0,9,0,15,0,12,0,11,0,9,0,5,0,9,0,11,0,11,0,12,0,8,0,11,0,5,0,10,0,8,0,10,0,14,0,9,0,10,0,17,0,7,0,10,0,7,1,12,0,7,0,9,0,7,0,5
20.0,num_simulations=100,0,19,0,17,0,26,1,19,1,18,0,26,0,17,0,28,0,20,0,13,0,21,0,17,0,17,0,21,0,24,0,19,0,11,1,22,0,20,0,18,0,19,0,21,1,9,0,28,0,14,0,23,0,22,0,17,0,21,0,28,0,23,0,22,0,23,0,18,0,20,0,23,0,22,0,14,0,32,0,26,0,17,0,19,0,21,0,16,0,18,0,28,1,18,0,18,0,18,0,17,0,20,0,22,0,12,0,23,0,18,0,18,1,20,1,21,1,14,0,14,0,28,0,28,0,19,0,17,0,21,0,14,0,24,0,21,0,27,0,14,0,19,0,12,0,20,0,20,0,19,0,24,0,15,0,19,0,31,1,21,0,16,0,26,0,26,0,22,0,16,0,26,0,28,0,28,0,22,0,23,0,19,0,20,0,25,0,26,0,19,0,20,0,29,0,17,0,20,0,14
30.0,scale=1.0,0,34,0,27,0,34,0,21,0,27,0,26,0,29,1,34,0,23,0,38,1,44,0,30,0,27,0,33,0,31,0,27,0,35,0,23,0,25,0,35,0,17,2,42,0,43,0,28,1,15,0,28,0,32,0,27,0,30,0,30,0,30,0,31,0,28,0,33,0,23,0,27,0,33,0,38,0,30,0,30,0,52,0,31,0,29,0,27,0,37,0,34,0,42,0,28,0,30,0,30,0,32,1,23,0,27,0,29,0,27,0,18,0,25,0,28,0,36,1,22,0,23,0,18,0,28,0,32,0,25,0,32,0,28,0,32,0,28,0,24,0,31,0,32,1,25,0,28,0,25,0,19,0,26,0,36,1,29,0,16,0,27,0,29,0,33,1,25,1,36,0,40,0,25,1,30,0,31,0,34,0,43,0,36,0,33,0,28,0,25,0,40,0,31,0,26,1,40,0,29
40.0,cell_count=1000.0,0,32,0,30,0,40,0,36,0,45,1,40,0,49,1,40,0,38,0,41,0,49,3,47,0,32,1,35,0,37,1,28,0,49,0,36,0,37,0,43,0,32,0,48,1,39,1,33,0,37,1,46,0,38,0,36,0,47,1,38,0,35,1,50,1,46,1,45,0,28,0,45,0,35,0,33,0,41,0,46,0,38,0,50,0,34,0,40,0,38,0,33,0,35,0,42,0,49,0,41,0,42,0,45,1,50,0,46,0,38,0,46,0,42,0,35,1,44,1,39,1,46,0,35,0,47,0,37,0,38,0,40,1,53,0,41,0,30,0,32,0,35,0,44,0,54,0,51,0,49,0,51,0,32,1,55,0,44,0,39,0,40,0,38,0,41,0,42,0,42,1,26,1,60,0,37,0,36,0,34,2,46,1,48,0,47,0,41,0,34,0,32,0,42,0,42,0,45,0,40
50.0,muG=0.0,0,58,0,57,1,52,0,54,0,49,0,48,0,54,0,53,0,48,0,51,0,57,0,62,0,52,0,53,0,44,0,43,0,48,2,55,1,45,1,50,0,60,0,55,0,51,0,55,0,61,0,45,0,45,0,45,0,44,0,50,0,52,1,56,0,49,0,63,1,58,0,43,0,56,0,54,0,52,0,41,0,50,1,55,1,43,0,44,0,54,0,59,0,50,1,55,0,49,0,52,0,39,0,49,0,49,0,53,0,51,0,64,0,51,0,41,1,47,0,43,0,59,1,55,2,49,1,53,0,51,0,52,0,54,0,49,1,45,0,45,0,53,0,45,0,58,0,56,0,48,1,46,1,38,1,63,0,44,0,46,0,57,3,61,1,46,1,49,0,45,0,55,0,49,0,47,0,48,0,51,2,53,0,51,0,57,0,54,0,56,1,54,0,46,0,48,0,57,0,57
60.0,sigmaG=1.0,2,55,2,58,0,59,1,64,0,63,0,71,1,63,0,69,1,68,0,58,1,63,0,62,0,53,0,76,0,51,0,72,1,61,0,51,1,60,1,62,0,55,0,57,1,58,1,59,0,62,2,62,0,56,0,50,0,75,1,56,0,55,0,65,0,61,0,68,2,70,1,66,0,63,1,69,0,55,0,54,1,72,1,62,0,64,0,62,0,64,1,59,0,54,0,60,0,63,3,65,0,52,0,51,0,49,0,83,0,66,0,59,0,66,0,54,0,60,0,57,1,74,0,55,1,75,0,59,1,53,0,63,0,59,0,63,0,59,0,47,0,57,2,67,0,53,1,64,0,65,0,55,0,67,0,68,1,58,0,67,0,57,0,69,0,54,0,59,0,61,0,50,0,63,0,64,1,50,0,62,0,51,0,46,1,68,0,66,0,44,0,70,1,60,0,44,0,73,0,67
70.0,muR=12.0,2,79,0,61,0,63,1,59,2,64,3,70,0,69,0,61,0,76,0,65,1,75,1,54,1,66,0,61,1,76,0,67,0,66,1,69,0,74,0,69,0,60,0,79,0,47,1,79,0,75,0,70,0,81,0,73,0,67,0,70,0,68,0,62,1,59,0,62,0,78,0,69,1,75,0,78,0,73,0,61,0,58,0,77,0,74,0,78,2,61,0,75,0,74,0,77,2,86,1,68,1,76,0,71,2,71,0,71,0,62,0,62,1,71,0,71,0,58,1,78,0,65,3,76,0,75,0,62,1,61,2,64,2,75,0,75,0,69,0,75,0,69,2,76,0,68,1,74,0,70,0,77,1,64,0,50,0,85,0,53,1,75,0,67,1,72,1,74,0,65,1,64,1,78,0,66,0,74,2,68,2,76,0,71,0,58,0,71,0,67,0,67,0,69,1,88,2,55,1,62
80.0,sigmaR=1.0,0,69,1,76,0,79,1,95,0,88,0,66,1,82,0,79,0,77,1,84,0,91,0,69,0,79,0,87,0,92,1,86,1,72,1,85,0,72,2,83,1,69,0,77,1,93,1,78,0,90,0,89,0,75,1,88,1,87,0,92,1,72,0,58,0,70,2,80,0,80,0,62,2,62,1,86,2,93,1,79,1,81,0,68,0,85,0,89,0,84,0,63,0,84,0,74,1,104,0,98,0,79,1,70,1,86,0,76,0,74,0,71,0,87,0,76,0,79,1,69,1,83,0,67,0,84,0,80,2,70,1,64,0,62,0,86,0,79,0,69,0,78,0,77,0,86,0,71,0,70,1,92,0,71,2,94,0,71,0,74,0,88,1,85,0,73,0,66,0,71,0,79,0,90,3,79,1,96,0,91,0,71,0,93,0,89,0,86,0,88,0,91,0,77,0,76,1,64,0,87
90.0,gamma=0.45,1,94,0,95,0,68,0,91,0,97,1,100,0,83,0,77,0,90,0,81,0,92,3,106,0,114,1,96,0,91,0,91,0,95,0,100,0,101,1,92,0,89,1,82,0,86,1,102,0,81,1,104,1,95,0,94,3,81,0,98,0,81,0,97,1,77,1,80,0,86,0,84,0,92,0,101,1,86,0,99,1,99,0,97,0,108,0,93,0,97,1,104,5,110,0,82,1,98,1,83,1,100,0,76,0,86,0,96,2,82,0,88,0,109,0,82,0,87,0,109,0,79,0,78,0,101,2,96,0,88,2,104,1,105,0,83,1,114,1,90,0,77,0,76,1,87,0,72,0,95,3,96,1,86,2,95,0,82,2,91,0,101,0,93,0,97,0,106,2,101,0,75,0,89,1,87,0,97,0,92,0,106,0,87,0,89,0,84,1,78,0,83,0,85,1,97,1,102,1,91
100.0,vMax=1000.0,0,107,0,96,0,95,1,90,1,99,2,99,0,82,0,78,0,93,0,82,0,112,0,106,1,95,0,118,2,97,0,112,0,102,0,103,0,90,0,98,1,112,3,101,1,87,1,90,0,97,1,92,1,119,0,104,0,103,0,87,2,112,0,98,1,96,1,92,1,104,0,120,1,111,3,112,1,90,0,126,0,106,0,89,0,122,0,95,0,110,1,100,0,99,0,114,1,102,0,98,1,96,0,93,2,90,2,96,0,113,0,101,0,126,1,104,0,94,0,106,1,105,1,104,0,94,1,89,0,107,0,88,0,97,0,104,0,101,0,104,0,101,0,90,1,100,2,109,1,119,1,110,2,114,2,94,0,105,0,103,0,100,0,101,1,95,1,110,0,88,1,110,1,101,1,96,1,78,1,99,2,100,1,87,1,94,1,109,2,115,0,105,2,104,1,102,1,99,1,103
