GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,8,0,15,0,7,0,9,0,7,0,10,0,13,0,7,0,4,0,15,0,4,0,4,0,8,0,18,0,6,0,9,0,10,0,7,0,11,0,8,0,8,0,15,0,15,0,13,1,11,0,13,0,13,0,8,1,8,1,4,0,10,0,11,0,16,0,7,0,9,0,7,0,14,0,11,0,8,0,6,0,15,0,6,0,14,0,6,0,11,0,12,0,16,0,9,0,10,0,6,0,7,0,5,0,14,0,9,0,6,0,13,1,13,0,9,0,11,0,8,0,8,0,14,0,8,0,12,0,15,0,11,0,11,0,10,0,15,0,14,0,7,0,7,0,12,0,18,0,16,1,5,0,5,0,11,0,15,0,13,0,11,0,10,0,10,1,10,0,7,0,5,0,9,0,13,1,9,0,10,1,12,0,8,0,9,0,15,0,6,0,12,0,10,0,6,1,9,0,9
20.0,num_simulations=100,0,19,0,18,0,21,0,19,0,30,0,16,0,14,0,21,0,17,1,24,0,17,0,18,0,22,0,17,0,14,0,13,0,19,0,18,1,16,1,21,0,17,0,14,1,24,0,17,0,17,0,20,0,15,0,18,0,19,0,18,0,26,1,25,0,15,0,23,0,27,0,26,0,23,0,21,0,22,0,21,0,23,2,17,1,21,0,33,0,20,0,17,0,16,0,24,0,14,0,23,0,27,0,19,0,20,0,17,0,21,0,14,1,17,1,16,0,24,0,17,0,19,1,21,0,19,0,34,0,21,0,22,0,21,0,13,0,17,1,18,0,21,1,26,0,31,0,27,0,24,1,22,0,17,0,23,0,24,0,23,0,24,0,25,0,23,0,27,0,20,0,6,0,19,0,21,0,13,0,18,0,16,0,14,0,25,0,19,0,18,0,18,0,14,0,17,0,25,0,17
30.0,scale=1.0,0,33,0,33,0,35,0,34,1,23,0,31,1,28,0,27,0,40,0,20,0,26,0,32,0,32,0,16,0,39,0,31,0,31,1,31,1,25,0,20,1,28,0,26,1,27,0,36,0,39,0,25,0,29,0,31,0,25,0,22,1,23,0,42,0,33,0,36,0,34,0,26,0,34,0,32,0,29,0,22,0,34,0,16,0,26,0,23,1,31,1,33,0,26,0,23,0,28,1,36,0,34,0,35,0,36,0,34,0,20,0,28,0,30,0,31,0,33,0,33,0,34,0,22,1,42,0,33,0,24,0,30,1,24,0,35,0,23,0,23,2,31,0,26,1,34,0,32,0,23,0,25,0,29,1,26,0,24,0,24,1,20,0,27,0,28,1,38,0,30,0,33,0,40,0,37,0,35,0,29,0,36,0,38,0,40,0,41,0,37,0,25,0,30,0,37,0,34,0,39
40.0,cell_count=1000.0,0,37,0,38,0,42,0,39,2,45,0,46,1,40,1,44,1,42,0,49,0,39,1,51,0,34,0,40,0,36,0,38,0,49,0,34,0,37,0,36,0,44,0,40,0,45,0,35,0,42,0,36,0,31,1,33,0,46,0,39,0,37,0,39,0,47,0,38,0,35,0,47,0,48,0,31,0,45,1,39,1,42,0,40,0,51,0,30,0,36,0,33,0,44,0,42,0,39,0,35,0,32,0,39,0,40,0,44,0,50,0,37,0,31,0,36,0,39,1,42,0,34,0,39,0,46,1,40,1,32,0,50,0,35,0,41,1,43,0,41,0,37,0,43,0,38,0,39,0,57,0,44,0,37,0,34,0,47,0,31,0,34,0,36,0,44,0,44,0,49,0,46,0,38,0,38,0,38,1,34,0,50,0,36,0,49,0,46,0,39,0,36,0,44,0,36,0,34,0,33
50.0,muG=0.0,0,41,0,40,0,47,0,43,1,53,1,51,1,54,1,48,0,59,0,56,0,47,0,39,0,57,0,48,0,44,0,53,0,50,2,49,0,39,0,50,0,57,0,47,0,50,0,39,0,53,0,50,0,42,0,56,0,47,0,46,0,53,0,57,0,49,0,48,1,55,2,54,0,51,0,47,0,47,0,48,0,58,0,49,0,48,1,43,0,57,0,52,0,56,0,50,0,52,0,47,2,61,0,56,0,44,1,49,0,62,1,53,0,62,2,43,0,44,1,44,2,66,0,54,0,53,0,43,0,43,0,48,0,52,0,54,0,49,0,53,0,47,0,61,0,51,0,56,0,46,0,38,0,49,0,49,0,58,0,62,0,49,0,51,0,54,0,62,0,52,1,62,0,53,0,39,0,44,3,49,0,51,0,63,0,42,0,63,0,59,1,49,0,56,0,53,1,48,0,42
60.0,sigmaG=1.0,0,162,0,126,1,145,1,145,0,149,1,170,1,151,2,136,1,144,1,158,1,150,0,160,1,136,2,159,0,147,1,151,1,144,2,118,0,145,0,129,1,120,2,166,0,122,0,128,0,138,1,169,2,133,1,129,0,128,1,173,0,168,0,118,0,144,0,142,0,153,1,144,1,159,0,164,0,138,0,163,1,135,0,136,0,104,0,152,1,172,0,162,0,129,0,139,2,163,0,169,0,191,0,141,1,166,2,208,2,127,3,203,1,137,0,168,2,136,1,161,1,164,0,120,2,202,0,150,1,174,0,190,0,174,1,147,2,109,2,162,0,161,2,176,0,140,0,158,0,154,2,136,0,147,1,110,1,154,0,139,1,165,0,159,1,142,0,159,1,130,0,145,2,147,1,150,3,145,2,173,1,150,1,151,0,146,3,152,2,144,1,154,0,124,0,144,4,161,1,194
70.0,muR=12.0,0,231,0,224,0,225,2,208,1,182,0,195,0,185,1,206,1,201,1,214,2,224,1,192,0,197,0,194,2,207,0,168,1,193,0,187,0,193,0,178,1,204,5,231,0,206,0,166,2,221,0,209,2,206,1,218,1,201,0,209,3,219,1,206,2,193,0,179,0,210,2,227,2,207,3,177,1,195,2,223,1,149,0,238,3,145,0,193,1,183,1,206,2,164,0,224,1,263,0,193,1,194,1,213,2,194,3,194,2,235,1,190,1,182,1,243,2,190,2,202,2,222,0,229,0,214,1,223,3,216,2,190,2,171,3,248,1,212,0,237,0,206,2,212,5,236,2,190,0,221,0,201,0,203,3,218,3,219,1,251,1,215,1,217,1,201,0,212,0,178,1,172,0,187,0,215,4,247,0,251,0,197,1,179,0,178,0,183,0,194,2,230,1,165,1,236,0,212,0,234
80.0,sigmaR=1.0,1,251,2,293,2,209,1,298,1,169,1,259,3,225,2,272,3,386,4,297,1,222,0,292,2,258,5,285,3,249,3,217,4,341,0,262,1,248,3,325,1,263,1,241,1,268,0,236,1,289,1,326,0,157,1,282,1,214,1,259,1,179,4,176,2,279,1,302,1,202,2,265,1,245,2,308,1,263,0,256,2,312,1,248,0,222,0,165,3,291,1,302,0,224,1,242,0,243,0,250,1,219,1,246,1,265,2,238,1,226,2,293,0,259,3,277,0,308,4,254,2,254,0,272,0,298,1,288,3,250,2,285,1,292,1,274,1,264,1,314,4,302,1,249,2,291,1,282,3,293,0,310,0,197,2,248,0,282,0,244,1,257,1,301,1,192,2,307,1,243,3,227,2,279,2,268,0,301,1,271,1,231,0,153,0,317,0,305,2,300,2,257,0,257,1,246,1,253,3,334
90.0,gamma=0.45,2,430,0,261,3,344,4,376,1,330,2,306,1,386,3,335,1,351,2,277,0,175,3,403,2,339,5,327,2,443,2,245,1,196,3,294,5,324,2,383,4,322,1,299,0,180,3,315,3,341,1,223,2,325,3,204,1,341,2,494,3,266,2,337,2,295,4,230,1,366,0,264,2,385,3,323,2,372,3,194,4,331,6,361,2,246,0,389,2,334,0,250,4,335,3,287,1,310,1,309,0,271,4,336,2,269,4,376,2,247,3,298,1,316,1,478,1,268,3,334,1,212,2,278,4,373,5,387,0,195,1,186,2,322,1,302,0,236,4,343,1,328,2,317,1,333,1,265,3,288,2,321,2,319,1,281,2,395,0,183,3,387,3,247,3,212,1,223,1,317,0,335,2,346,1,417,4,316,0,190,1,278,2,279,3,383,2,365,1,411,1,367,1,304,0,207,2,259,5,342
100.0,vMax=1000.0,0,454,2,271,1,372,0,710,3,387,0,230,2,333,0,245,4,396,3,475,2,520,1,253,5,377,4,526,1,296,1,223,3,332,2,336,0,236,5,447,2,469,5,441,2,365,1,508,3,440,1,342,2,336,1,263,3,338,1,395,1,358,5,535,1,201,4,307,1,347,2,381,2,268,1,268,5,362,1,430,3,239,2,381,1,286,2,347,1,391,1,355,2,348,2,453,2,360,2,454,1,243,1,372,4,288,1,204,1,212,1,240,0,337,1,257,4,373,1,262,0,306,0,340,0,266,0,389,0,269,0,448,5,288,2,407,2,411,0,248,3,566,2,255,2,396,1,512,3,469,1,398,0,256,3,398,4,424,4,420,1,236,3,343,4,557,3,365,2,475,5,466,0,377,1,526,0,382,1,338,3,505,2,476,1,431,2,282,0,333,4,402,1,388,4,334,2,355,1,386
