GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,12,2899,17,2857,18,2794,20,2883,19,2785,19,2858,13,2859,12,2802,16,2751,16,2901
1636,num_simulations=10,14,2883,14,2912,14,2852,16,2777,16,2918,18,2830,25,2781,10,2855,17,2913,14,2981
1636,sheet=9,14,2822,12,2807,16,2902,14,2792,18,2853,11,2808,20,2835,10,2746,13,2854,22,2901
2251,scale=10,27,3885,21,4003,24,3919,19,3946,15,3934,28,3943,22,3996,17,3890,20,4034,24,3885
2251,cell_count=17000,17,3951,18,3877,17,3914,24,3916,21,3886,22,3887,21,3852,8,4000,26,3986,18,3926
2251,muG=0,16,3916,30,3936,23,3917,20,3868,21,3918,18,3979,20,3939,22,3855,29,3899,23,3929
3095,sigmaG=1,31,5291,33,5483,38,5442,29,5416,32,5351,29,5279,28,5364,25,5279,30,5235,35,5436
3095,muR=12,34,5363,31,5468,36,5167,24,5501,32,5222,36,5282,33,5429,25,5479,31,5376,31,5424
3095,sigmaR=1,30,5427,27,5466,29,5348,30,5291,35,5507,30,5377,25,5363,33,5372,29,5376,24,5274
4251,gamma=0.45,45,7579,49,7484,31,7678,34,7641,27,7438,42,7685,51,7615,41,7600,34,7670,46,7857
4251,vMax=10000.0,53,7856,36,7685,38,7701,44,7813,42,7559,42,7624,46,7639,37,7569,48,7535,41,7412
4251,remove=1,51,7592,44,7651,42,7551,45,7755,35,7741,34,7690,33,7608,47,7615,38,7793,43,7672
5834,scheme=linear,55,10961,70,10805,55,10846,47,10899,64,11231,71,11129,44,11012,59,11271,60,10916,61,11048
5834,distribution=fixed,70,11068,62,10962,65,11071,57,10908,54,11195,77,11177,58,11016,55,10948,74,11134,69,11118
5834,ub=300,59,11216,64,11028,61,10933,55,11083,58,11368,65,11066,59,11256,58,11062,51,11087,74,11045
8001,lb=100,93,18144,96,18454,91,18246,100,18146,106,18198,118,17926,86,18078,90,17749,109,18288,100,18329
8001,mean=230,98,18095,95,18123,109,18432,97,17829,100,17494,137,18390,104,18015,103,18154,89,17963,95,18102
