GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,28,3257,16,3186,17,3284,12,3144,10,3272,23,3195,16,3370,18,3133,17,3215,16,3134
1636,num_simulations=10,22,3075,18,3280,22,3131,20,3260,14,3254,16,3075,26,3237,16,3328,15,3204,17,3241
1636,sheet=9,14,3218,19,3240,18,3155,22,3121,16,3132,17,3265,17,3079,16,3102,20,3141,26,3181
2251,scale=10,23,4435,28,4345,27,4292,30,4450,25,4465,24,4416,24,4511,23,4189,30,4382,25,4348
2251,cell_count=17000,19,4240,25,4392,19,4477,28,4313,32,4356,32,4451,28,4473,25,4523,26,4603,27,4263
2251,muG=0,34,4423,31,4457,14,4382,21,4499,30,4427,19,4456,30,4458,29,4478,18,4447,22,4160
3095,sigmaG=1,33,6094,36,6052,38,6173,30,5981,29,6201,23,6198,36,5930,32,6039,36,6113,32,6137
3095,muR=12,37,6167,37,5923,29,5963,32,6199,34,6251,19,6092,16,5906,37,6147,32,6080,34,6207
3095,sigmaR=1,36,6001,33,6129,29,6118,35,6074,26,5913,32,5966,39,6086,39,6199,35,6106,40,5987
4251,gamma=0.45,46,9448,62,9226,53,9383,59,8915,51,9403,50,9207,50,9305,62,9260,46,9449,52,9086
4251,vMax=10000.0,56,9329,56,9276,63,9376,54,9530,58,9441,57,9223,48,9416,58,9471,45,9430,40,9237
4251,remove=1,53,9503,53,9212,49,9239,49,9274,50,9265,56,9297,47,9323,49,9399,53,9229,57,9295
5834,scheme=linear,88,14391,72,14440,70,14522,72,14175,80,14211,67,14843,76,14382,85,14541,73,14655,86,14174
5834,distribution=normal,66,14370,86,14290,73,14176,78,14674,84,14504,81,14400,75,14164,81,14255,88,14190,74,14336
5834,ub=300,80,13945,88,14204,73,14076,65,14542,70,14692,78,14702,78,14172,79,13831,75,14430,67,14203
8001,lb=100,160,26200,161,26384,152,26158,140,26807,133,26265,170,26539,132,26380,138,26229,146,26200,159,26590
8001,mean=230,136,26956,143,26352,156,26864,133,26353,138,26455,148,25777,133,26677,144,26634,130,26262,132,26336
8001,FILLER,130,26059,142,27039,141,25770,131,26321,150,26312,142,25795,141,26180,152,26421,146,26086,142,25828
10963,FILLER,178,31111,170,31630,147,30880,177,31221,159,31147,172,30784,169,31524,200,31013,195,31357,167,31394
10963,FILLER,179,31543,180,30996,193,30949,188,31637,163,31272,161,31243,172,31579,174,30960,153,31221,184,31434
10963,FILLER,163,31803,132,30696,177,31315,170,31653,167,31388,158,30480,190,31067,178,31138,176,31654,165,30979
15010,FILLER,215,44415,221,44393,224,44016,246,44480,246,44401,230,44036,255,44226,226,43915,244,44029,271,44563
15010,FILLER,270,44109,244,44816,229,44159,236,43935,217,44528,265,44588,247,44274,244,44244,232,44457,256,44556
15010,FILLER,253,44452,227,44994,253,43985,238,44024,246,44292,247,43907,240,43887,231,44005,254,44737,236,44286
20534,FILLER,318,60997,347,61655,333,61747,354,61353,354,61768,348,60444,337,61512,310,61257,360,62401,349,61326
20534,FILLER,382,61258,352,61936,314,61380,317,61905,318,61217,339,61804,311,61796,350,62734,365,62334,333,61033
20534,FILLER,322,61525,343,62416,362,60920,319,61070,321,61164,368,61638,330,62182,320,61139,336,61102,338,62167
28070,FILLER,417,85699,468,85963,499,86333,493,85905,473,85470,454,84724,449,86317,431,86220,482,85087,439,85404
28070,FILLER,443,84857,461,86162,490,85981,485,84277,457,85071,446,86415,466,85795,451,86138,485,86750,473,85737
28070,FILLER,459,85447,492,86331,472,85454,454,86117,437,85220,484,86350,456,85157,503,86924,459,85741,497,85538
38342,FILLER,642,119834,671,121936,658,120502,632,120250,651,120916,652,121415,625,120899,626,118920,642,121260,660,120821
38342,FILLER,626,120622,689,121360,668,120935,696,120723,610,121693,616,120570,617,121073,657,121416,657,119869,650,119905
38342,FILLER,676,120215,636,120418,670,120395,618,119680,611,119594,634,119639,658,120714,647,120052,661,120792,645,121094
52332,FILLER,845,156269,781,155492,789,155293,842,155134,825,155884,870,156606,844,155638,864,155696,815,156111,825,156826
52332,FILLER,844,155461,832,156070,854,156039,802,157500,802,155478,856,154590,858,156201,853,156358,823,156274,806,155919
52332,FILLER,808,156110,874,156857,828,156506,800,156568,830,156625,814,156113,839,155390,848,156444,877,156981,846,155979
71371,FILLER,1002,198572,1075,200292,1067,200658,1045,199317,1065,199824,1091,198670,1045,199144,1087,199733,1050,199197,1022,199094
71371,FILLER,1088,199399,1065,199634,1046,199255,1062,197249,1036,199936,1013,199240,1052,198493,1022,198846,1086,197888,1068,197864
71371,FILLER,1060,200752,1127,199779,1051,199171,1069,199872,1051,199685,1063,198809,1090,199694,1059,199766,1016,198733,1044,200392
97262,FILLER,1381,247018,1266,247182,1333,246291,1264,246217,1322,246404,1282,245544,1245,247557,1302,247053,1202,246662,1327,245236
