GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,21,3464,25,3502,14,3795,26,3810,12,3771,20,3403,18,3665,20,3608,16,3695,21,3703
1636,num_simulations=10,21,3653,28,3811,14,3480,26,3420,22,3843,19,3547,24,4001,14,3306,19,3451,14,3779
1636,sheet=9,17,3733,18,3565,20,3504,26,3657,19,3881,21,4284,29,3693,20,3878,20,4166,22,3467
2251,scale=10,28,5789,37,4682,25,4953,20,4956,30,5281,27,5088,35,5463,26,5179,27,5102,33,4654
2251,cell_count=17000,32,4959,34,5309,19,5248,28,5205,33,5152,35,5498,28,4572,33,4877,32,5398,26,5143
2251,muG=0,28,5037,25,5591,31,4934,37,5217,32,5470,28,5239,23,5451,27,4994,26,5528,29,4800
3095,sigmaG=1,45,7005,29,7395,38,6572,37,7281,38,7411,36,6947,35,6854,37,7171,37,7135,53,6810
3095,muR=12,32,6846,34,7455,34,6877,36,7296,34,7155,43,7083,40,7249,31,6599,32,7080,30,7038
3095,sigmaR=1,41,7133,37,7245,39,6808,43,7138,46,6958,45,7049,42,6947,43,7220,31,6934,42,6999
4251,gamma=0.45,74,12512,69,12959,72,12265,50,11996,79,12066,59,11858,78,11999,62,11898,70,13289,74,12543
4251,vMax=10000.0,60,12324,79,12597,60,11715,63,12308,73,12872,56,12446,68,12079,66,12442,53,12081,75,12152
4251,remove=1,74,11987,81,12621,82,12372,71,12509,66,12486,65,12684,68,12225,77,12109,54,12512,69,12464
5834,scheme=regular_polygon,121,21477,124,21357,122,22908,105,21006,129,22055,112,21828,117,21180,129,22403,105,21486,117,22127
5834,distribution=fixed,121,22799,103,21794,118,22714,106,21910,120,22196,124,21930,113,21802,102,22435,115,21324,127,21856
5834,ub=300,110,21664,130,22264,122,22321,129,20922,110,19428,114,20998,118,20783,106,21545,111,21596,126,22953
8001,lb=100,299,52070,285,55290,277,53307,305,55546,293,52963,279,53652,269,52269,292,53767,296,52896,271,54139
