GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,38,5932,41,6029,38,5690,30,5465,31,5876,31,6295,33,6032,35,5440,31,6185,32,6139
1636,num_simulations=10,31,5669,40,5977,35,6147,40,6153,32,5666,26,5926,38,5583,33,6221,42,5844,31,5764
1636,sheet=9,30,5882,23,6069,32,6530,29,5788,30,6054,38,5801,37,5997,34,6547,28,6098,37,6624
2251,scale=10,46,8028,42,8556,44,8114,43,8019,51,8633,48,7819,42,8105,49,8163,51,8312,50,7773
2251,cell_count=17000,47,8068,52,8482,49,8020,56,8172,33,7925,40,8183,51,8039,44,8318,44,7882,66,8048
2251,muG=0,36,8024,46,8803,52,8687,45,8040,49,8375,49,8694,49,8217,55,8356,49,8096,54,7492
3095,sigmaG=1,67,11093,48,11205,74,11617,64,11306,61,11650,59,11704,71,11105,54,11078,67,12053,62,11415
3095,muR=12,46,11286,74,12385,50,10613,56,10874,50,11761,61,11031,61,11651,61,10616,60,11511,63,11025
3095,sigmaR=1,58,11194,64,11234,56,10380,63,12545,60,11776,63,11278,60,11599,62,11342,62,10909,72,11225
4251,gamma=0.45,108,18449,89,18269,127,20556,103,19329,90,19250,115,20341,99,19669,96,19516,108,20235,99,19396
4251,vMax=10000.0,114,19597,103,19126,110,19557,86,19862,100,19595,97,19523,114,19200,105,20696,115,18732,89,19401
4251,remove=1,111,17746,107,19443,95,19254,107,20047,103,19188,108,18894,108,19769,124,19205,94,19040,110,20506
5834,scheme=regular_polygon,174,33692,159,31671,176,32413,176,32372,174,32006,180,31831,182,32594,155,33839,152,32716,184,32436
5834,distribution=normal,146,29745,156,29507,172,32894,158,32296,169,32733,176,32117,171,32733,192,31409,170,32605,169,30716
5834,ub=300,165,31608,183,31755,173,32861,169,31943,156,32976,167,33197,185,32923,173,31539,164,31434,171,33709
8001,lb=100,356,67499,327,67819,346,71095,361,69533,342,69759,380,72886,354,68612,332,65575,381,69108,353,68041
8001,mean=230,409,71095,352,67895,355,71831,345,67888,373,68246,349,68888,352,68119,357,65852,364,70700,348,67506
8001,FILLER,382,68150,390,67238,348,66355,322,66079,342,68142,365,67935,328,66955,377,69867,349,68481,373,67320
10963,FILLER,433,83900,460,82236,467,84105,460,81545,458,82964,461,81944,461,83220,416,83537,472,86035,434,81415
10963,FILLER,459,82686,426,82500,461,83860,417,82765,398,83706,450,84981,424,82851,415,82294,449,84149,444,83075
10963,FILLER,441,82273,414,86588,455,85068,464,87783,452,82368,427,80274,427,82371,423,82957,423,84605,403,82508
15010,FILLER,623,118245,638,120294,589,120091,647,119602,619,118282,658,120540,652,116768,618,120047,626,121977,601,118166
15010,FILLER,616,123892,626,119229,679,122916,606,122149,661,119775,675,118237,679,122923,616,119460,589,121646,650,119482
