GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,16,3365,20,3249,19,3512,10,3214,24,3608,13,3619,21,3252,20,3415,11,3170,20,3216
1636,num_simulations=10,17,3640,24,3297,21,3456,25,3261,19,3472,23,3420,17,3133,17,3260,17,3332,25,3375
1636,sheet=9,23,3247,15,3655,9,3085,17,3439,19,3480,15,3164,15,3435,24,3248,19,3401,20,3327
2251,scale=10,22,4205,30,4753,27,4489,18,4395,24,4293,26,4627,25,4368,28,4901,20,4551,24,4896
2251,cell_count=17000,30,4278,19,5002,26,4307,26,4673,26,4309,19,4881,20,4585,32,4408,27,4383,20,4373
2251,muG=0,17,4944,23,4659,28,4529,33,4839,27,4607,22,4462,26,5197,21,4725,21,4485,21,4550
3095,sigmaG=1,33,6422,29,5890,34,6528,22,6025,34,6241,42,6275,32,6410,39,6280,33,6655,32,6431
3095,muR=12,34,6466,38,6187,44,6210,37,5976,37,6078,41,6415,35,6266,35,6232,39,6573,32,6179
3095,sigmaR=1,34,6321,35,6354,37,6150,37,5992,30,6149,23,6075,38,6906,32,5979,34,6505,46,6009
4251,gamma=0.45,75,12271,57,10615,56,11135,74,11533,77,11642,54,11057,48,11643,83,12029,54,11111,54,10966
4251,vMax=10000.0,65,12126,64,12457,60,11613,51,10403,59,10364,55,12402,66,11347,82,11624,63,13023,73,11425
4251,remove=1,60,11496,73,10959,53,11127,67,11685,59,11860,58,12567,69,11741,54,11583,69,11822,54,12102
5834,scheme=sphere_packing,131,25467,127,24265,132,22573,142,22910,115,21944,124,23087,141,25670,129,24126,108,23262,125,23149
5834,distribution=fixed,141,24291,122,23510,144,23801,103,20840,121,23716,98,22228,126,22991,118,21905,116,21982,143,27896
5834,ub=300,125,24376,128,25526,108,22289,138,23474,114,24069,137,25565,121,25987,108,23532,119,23031,124,23396
8001,lb=100,676,128206,620,131001,591,126042,637,131585,687,140564,580,116210,562,119021,622,122391,568,113666,597,122583
8001,mean=230,714,146912,539,111509,635,131037,543,116331,623,115518,738,150590,655,141215,668,139035,541,110615,557,125560
8001,FILLER,577,112759,519,110752,639,126954,585,115508,674,132186,659,139205,632,131551,658,138366,628,126117,541,109926
10963,FILLER,502,104685,544,109652,566,112562,564,106698,556,120088,589,117885,511,102242,672,128421,525,107818,539,106662
