GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
1636,simul_name=clump,16,3482,18,3380,14,3329
1636,num_simulations=3,15,3221,20,3947,15,3599
1636,sheet=9,17,3198,17,3638,24,3213
2251,scale=10,23,4638,22,4470,19,4336
2251,cell_count=17000,20,4364,21,4308,25,4450
2251,muG=0,31,4388,26,4430,18,4245
3095,sigmaG=1,34,6081,35,6417,31,6154
3095,muR=12,38,6305,35,6226,37,6323
3095,sigmaR=1,36,6400,35,5778,37,5905
4251,gamma=0.45,65,12780,67,13469,70,12036
4251,vMax=10000.0,64,10716,66,10753,57,10462
4251,remove=1,79,13049,54,11698,67,11857
5834,scheme=sphere_packing,135,25015,128,22709,143,23411
5834,distribution=fixed,126,22624,117,20357,104,23516
5834,ub=300,100,21458,141,27701,136,23658
8001,lb=100,541,112983,573,114740,576,124714
8001,mean=230,646,124163,562,114888,739,157359
8001,FILLER,686,142583,569,113118,589,116450
10963,FILLER,550,104877,487,100882,614,118668
10963,FILLER,503,103910,504,103131,531,103898
10963,FILLER,579,114985,450,90047,567,110866
15010,FILLER,771,154452,771,157676,768,149123
15010,FILLER,748,157984,791,157296,876,165243
15010,FILLER,769,139783,738,147074,736,155410
20534,FILLER,1168,234753,980,200784,1233,244930
20534,FILLER,1201,240109,1154,229852,1140,229533
20534,FILLER,1138,223156,1101,217371,1149,226561
28070,FILLER,1785,344892,1549,313445,1652,348715
28070,FILLER,1610,324597,1591,325069,1571,314579
28070,FILLER,1654,348005,1680,339759,1577,334902
38342,FILLER,2399,516264,2412,521361,2425,516078
38342,FILLER,2469,519852,2505,548840,2456,524655
38342,FILLER,2451,531713,2440,543156,2488,532393
52332,FILLER,2674,576959,2512,529354,2467,532653
52332,FILLER,2477,522150,2576,565915,2597,536677
52332,FILLER,2551,550118,2512,523021,2644,561939
71371,FILLER,2456,510672,2535,512041,2469,505095
71371,FILLER,2394,498222,2551,524570,2474,520343
71371,FILLER,2377,484873,2376,514603,2465,498940
97262,FILLER,2269,452292,2244,450815,2128,453698
97262,FILLER,2190,453001,2223,456427,2302,468798
97262,FILLER,2173,452906,2228,450626,2209,449299
132444,FILLER,2802,587617,2749,587779,2871,590446
132444,FILLER,2936,591163,2737,576371,2821,584157
132444,FILLER,2831,584863,2783,580104,2930,605013
180215,FILLER,3336,689343,3281,691860,3265,697255
180215,FILLER,3351,688286,3223,674148,3194,679020
180215,FILLER,3286,684589,3321,693063,3335,691435
245031,FILLER,3887,848164,3882,853028,4017,867198
245031,FILLER,3904,842250,4005,848624,3923,852743
245031,FILLER,4034,873108,3950,859214,4000,857142
332907,FILLER,5083,1135627,4965,1142172,4924,1133814
332907,FILLER,4959,1137453,4988,1127516,4912,1121904
332907,FILLER,5043,1136093,4931,1138501,4980,1132874
451960,FILLER,6633,1614268,6691,1601858,6557,1609892
451960,FILLER,6524,1607302,6675,1626526,6515,1615738
451960,FILLER,6685,1622537,6696,1630614,6511,1602320
613131,FILLER,8232,2264684,8364,2267452,8274,2259476
613131,FILLER,8381,2262207,8347,2236037,8253,2264304
613131,FILLER,8344,2266353,8333,2259748,8362,2263669
831159,FILLER,10778,3576281,10935,3590576,10967,3592717
831159,FILLER,10886,3587666,10905,3580728,10924,3610431
831159,FILLER,10877,3594183,10868,3577862,10914,3611685
1125885,FILLER,13615,5889765,13440,5854609,13513,5886382
1125885,FILLER,13518,5857329,13515,5870187,13562,5844526
1125885,FILLER,13542,5832487,13540,5828149,13538,5833147
1524000,FILLER,15475,9721822,15519,9765454,15529,9865328
1524000,FILLER,15522,9782721,15493,9757423,15528,9736235
1524000,FILLER,15581,9753323,15442,9707597,15492,9769438
