GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,37,5992,16,4418,30,4205,38,4483,25,4184,25,4207,65,12848,31,5408,19,4635,18,3843
1636,num_simulations=10,23,4881,27,5202,21,4850,41,6754,39,6184,26,5156,32,4583,47,8185,31,4876,22,4344
1636,sheet=9,25,5242,33,4694,26,5406,34,5798,33,5175,26,6817,33,4816,30,4752,29,4638,31,5398
2251,scale=10,39,5896,30,5483,58,8705,30,6382,40,6074,54,9574,38,7418,47,7968,33,7171,34,8184
2251,cell_count=17000,31,6977,40,7596,48,9264,50,5980,39,7246,38,6724,31,6525,41,7312,26,6849,34,5817
2251,muG=0,59,11252,41,6199,44,7721,41,6816,26,6602,27,6615,46,7722,32,6968,27,6731,38,6563
3095,sigmaG=1,39,7486,45,8959,55,9834,58,10314,58,10290,41,8802,37,9446,55,10809,43,8524,66,10083
3095,muR=12,47,8435,67,10502,45,8355,54,10887,52,9150,106,17004,42,8405,47,9291,49,8771,55,9854
3095,sigmaR=1,62,9021,60,11000,46,7921,57,10496,49,9606,44,8091,60,10180,47,7666,61,9307,62,10663
4251,gamma=0.45,104,17865,129,26143,87,18510,101,18972,111,20107,95,19549,132,26101,140,28317,132,22607,99,17554
4251,vMax=10000.0,94,17571,98,20535,91,20693,106,19531,115,20825,102,21420,125,22264,93,20100,101,18172,109,21421
4251,remove=1,88,18978,136,25129,86,17755,83,16358,125,22102,96,17289,89,20128,94,19312,115,22953,101,19479
5834,scheme=sphere_packing,251,48680,246,49882,321,63117,227,41309,274,51158,295,59770,242,48387,226,44199,236,48364,255,46381
5834,distribution=normal,241,44897,209,41534,278,53880,268,54528,247,52844,228,43180,210,40770,226,42717,235,42079,253,50415
5834,ub=300,229,42925,208,39265,270,51047,201,42500,245,48842,217,41837,233,47061,237,46853,227,41349,234,46616
8001,lb=100,1178,285248,1146,268379,1035,242563,1110,253323,877,193205,998,209340,1008,211594,947,217821,1048,239342,939,198009
8001,mean=230,978,207444,784,181090,1060,255096,1183,284282,891,200190,931,226077,883,193206,887,183256,722,157018,781,168305
8001,FILLER,839,180085,790,179088,959,215474,804,171454,854,187439,965,227550,974,214648,1086,253825,884,184803,1065,245189
10963,FILLER,926,192852,811,166965,1002,209716,997,223667,1023,227706,978,206204,888,190146,942,190948,940,183623,963,206200
10963,FILLER,932,197757,1061,219205,937,211063,921,195943,1057,217780,858,194521,851,171188,897,195399,986,212718,1015,216549
10963,FILLER,970,200500,964,206409,921,181422,947,191240,925,206519,938,195397,1046,224707,915,182091,957,204199,980,204732
15010,FILLER,1443,322701,1269,262673,1526,318520,1505,333221,1541,361919,1311,283667,1280,268630,1352,292134,1321,296608,1255,260187
15010,FILLER,1390,288640,1259,272404,1331,284175,1163,245171,1381,298554,1294,280380,1366,306451,1438,297821,1324,279177,1283,258126
15010,FILLER,1383,307951,1213,267016,1291,276633,1242,254822,1226,257485,1400,305585,1389,300715,1345,310852,1443,308554,1379,301296
20534,FILLER,1814,393911,1895,418964,1687,379228,1972,439632,1901,414149,1916,404928,1795,385399,1747,392520,2062,459767,1877,414356
20534,FILLER,1833,385340,1908,428232,2130,489575,1878,409345,1881,419623,2056,449323,2038,448174,1855,407512,1936,424816,2016,448885
20534,FILLER,1728,392604,1973,424036,1913,440389,1854,420629,2099,478611,1845,417008,2007,451841,1942,426529,1921,407854,1740,376156
28070,FILLER,2677,602520,2771,647839,2853,650575,2776,616676,2656,601408,2797,647709,2587,602780,2856,641779,2819,619582,2440,571759
28070,FILLER,2607,583929,2518,595782,2482,546942,3016,703229,2714,604522,2982,684148,2887,689993,2887,662594,2890,675623,2687,638029
28070,FILLER,2561,586866,2923,670877,2688,647530,3088,729078,2697,601216,2723,639090,2806,639528,2856,661648,2699,611676,2558,591207
38342,FILLER,3916,936542,3912,958177,3934,960885,3797,921202,3942,963043,3712,917488,3830,919991,3881,959874,4066,992264,4051,1004739
38342,FILLER,3853,947068,3879,926066,3744,928408,3840,904361,3816,919347,4049,1036664,4156,1033953,3887,932651,3994,994914,3798,916775
38342,FILLER,3863,922736,3724,895638,3794,930352,3861,919604,3711,892492,3790,906306,3461,832763,3972,964771,3781,888243,3744,919977
52332,FILLER,4222,1036453,4760,1194714,4197,1009948,4249,1011505,4258,1079712,4460,1089593,4368,1055890,4128,988576,4129,991581,4169,1014297
52332,FILLER,4687,1176911,4410,1085266,4367,1096544,4460,1075964,4590,1153286,4333,1004979,4218,1009666,4356,1072740,4257,1012633,4178,1009449
52332,FILLER,4282,1060295,4443,1085422,4171,997616,4311,1039279,4177,1020119,4121,991738,4237,1020213,4452,1083973,4329,1070298,4411,1079416
71371,FILLER,4295,1009771,4477,1064271,4609,1124568,4487,1083906,4603,1109760,4483,1096130,4226,992174,4415,1044766,4672,1117028,4277,1011613
71371,FILLER,4532,1057756,4609,1113759,4432,1055486,4421,1048783,4269,1008410,4449,1075231,4539,1091754,4463,1077849,4615,1116691,4502,1069209
71371,FILLER,4366,1040356,4536,1059951,4728,1155153,4393,1018933,4494,1090091,4489,1066726,4746,1157345,4408,1044668,4437,1053500,4451,1076750
97262,FILLER,4075,935238,4252,984287,4060,932495,4256,970543,4233,991070,4253,964532,4216,962620,4312,984753,4333,1025980,4224,973596
