GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump,101,17742,99,18913,127,21245,100,18386,74,18170,82,15805,98,21286,89,17656,94,19611,113,20789
1636,num_simulations=10,79,19021,115,21003,85,16700,116,22936,101,19202,139,29857,110,21430,109,20519,117,22721,88,18073
1636,sheet=8,102,18744,126,22605,122,21516,106,20301,110,20684,83,17046,123,27355,86,18414,95,17963,109,20948
5834,scale=10,92,16339,81,16576,111,17614,99,16614,87,16320,117,17299,102,16502,98,17927,78,15674,103,17452
5834,cell_count=17000,92,18216,99,17037,85,16960,97,18638,99,18165,77,17372,82,15836,98,16756,102,17466,98,17149
5834,muG=0,97,17927,100,18772,85,16440,111,16794,92,17151,90,17700,93,18457,99,16815,92,16409,92,16059
15010,sigmaG=1,833,164065,885,166839,796,162904,761,153108,846,175667,689,137619,853,167946,817,155824,880,158347,812,153650
15010,muR=12,874,172328,824,155793,801,163628,822,161199,811,161999,767,150882,750,143262,821,171279,817,157131,812,166100
15010,sigmaR=1,862,177010,757,153723,833,170349,872,169173,889,175851,754,163217,737,148960,770,151414,855,173267,811,160539
38342,gamma=0.45,2677,582183,2524,555412,2608,566141,2658,589781,2764,607932,2666,585050,2617,567634,2749,599568,2832,595727,2679,582334
38342,vMax=10000.0,2674,592827,2611,555395,2638,572403,2659,587227,2827,627687,2677,593339,2725,599507,2617,591716,2716,602444,2799,601886
38342,remove=1,2806,622303,2698,583951,2889,640331,2602,561590,2718,582331,2790,622395,2767,584671,2686,593089,2658,581345,2678,588796
97262,scheme=sphere_packing,2261,465836,2253,443892,2207,449625,2266,455583,2275,461697,2328,471954,2181,447238,2285,459115,2173,445962,2205,449067
97262,distribution=fixed,2310,455041,2163,457688,2289,454032,2205,454362,2266,449136,2236,446140,2166,460493,2250,460933,2299,452129,2128,454636
97262,ub=300,2143,438399,2227,458726,2243,460404,2241,453760,2250,457004,2284,457154,2224,454011,2174,445038,2289,451006,2270,458551
245031,lb=150,3636,777274,3630,768759,3655,768526,3670,773418,3707,784337,3622,776730,3668,764472,3728,777505,3618,767332,3742,780657
245031,mean=230,3627,770960,3565,774878,3670,767587,3612,768271,3631,778461,3576,765671,3552,769818,3571,763940,3554,766224,3651,767890
245031,FILLER,3711,771868,3679,767989,3579,769020,3685,765203,3611,767762,3629,771095,3630,771565,3690,767222,3641,765177,3667,762307
613131,FILLER,10293,3258008,10372,3271529,10293,3252330,10430,3275485,10405,3273369,10453,3247822,10287,3258401,10278,3253972,10230,3273786,10327,3266231
613131,FILLER,10282,3239542,10310,3284873,10383,3268227,10315,3285372,10316,3261809,10318,3257234,10315,3281895,10369,3259297,10329,3235599,10248,3278209
613131,FILLER,10383,3280305,10236,3226894,10327,3257890,10337,3221074,10473,3294489,10419,3263563,10249,3241517,10235,3228900,10340,3254655,10340,3284117
1524000,FILLER,15380,9341670,15368,9315169,15405,9356561,15396,9343252,15403,9392622,15436,9373877,15373,9422661,15354,9358710,15338,9327955,15411,9356568
1524000,FILLER,15389,9396700,15319,9394077,15329,9380846,15380,9403377,15351,9408386,15461,9421633,15334,9340765,15372,9378320,15439,9339856,15401,9419665
1524000,FILLER,15307,9359042,15401,9352114,15416,9355940,15309,9413870,15377,9365738,15369,9388901,15412,9396309,15387,9349125,15461,9386659,15330,9346718
