GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
163,simul_name=clump,6,11,11
163,num_simulations=3,16,14,10
163,sheet=6,8,6,6
225,scale=100,12,10,16
225,cell_count=1700,18,13,18
225,muG=0,18,6,9
309,sigmaG=1,27,21,20
309,muR=12,24,12,20
309,sigmaR=1,15,16,18
425,gamma=0.45,28,26,21
425,vMax=1000.0,20,18,26
425,scheme=regular_polygon,20,21,24
583,distribution=normal,38,31,46
583,ub=300,35,27,24
583,lb=100,39,33,25
800,mean=230,49,38,44
800,FILLER,42,44,43
800,FILLER,47,36,41
1096,FILLER,50,77,55
1096,FILLER,62,44,58
1096,FILLER,52,55,66
1501,FILLER,57,90,87
1501,FILLER,95,95,71
1501,FILLER,85,88,92
2053,FILLER,105,99,102
2053,FILLER,110,117,111
2053,FILLER,81,108,122
2807,FILLER,167,141,152
2807,FILLER,145,145,137
2807,FILLER,148,144,144
3834,FILLER,199,198,188
3834,FILLER,179,192,171
3834,FILLER,197,182,184
5233,FILLER,264,288,258
5233,FILLER,260,254,258
5233,FILLER,235,273,293
7137,FILLER,374,367,360
7137,FILLER,351,332,348
7137,FILLER,336,341,339
9726,FILLER,464,451,421
9726,FILLER,490,445,443
9726,FILLER,453,444,471
13244,FILLER,549,618,570
13244,FILLER,549,568,578
13244,FILLER,548,571,601
18021,FILLER,737,666,724
18021,FILLER,729,736,732
18021,FILLER,739,747,733
24503,FILLER,892,883,919
24503,FILLER,914,877,908
24503,FILLER,865,880,904
33290,FILLER,1060,1051,1101
33290,FILLER,1044,1072,1064
33290,FILLER,1033,1039,1053
45196,FILLER,1238,1230,1198
45196,FILLER,1251,1259,1229
45196,FILLER,1207,1221,1236
61313,FILLER,1350,1372,1361
61313,FILLER,1393,1377,1390
61313,FILLER,1398,1393,1372
83115,FILLER,1514,1518,1522
83115,FILLER,1515,1503,1513
83115,FILLER,1499,1503,1499
112588,FILLER,1599,1579,1594
112588,FILLER,1606,1584,1588
112588,FILLER,1606,1599,1617
152400,FILLER,1653,1649,1650
152400,FILLER,1660,1647,1661
152400,FILLER,1656,1653,1663
