GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
163,simul_name=clump,18,30,22
163,num_simulations=3,28,50,25
163,sheet=6,40,40,34
225,scale=100,73,23,20
225,cell_count=1700,61,63,43
225,muG=0,38,9,24
309,sigmaG=1,46,101,44
309,muR=12,52,104,69
309,sigmaR=1,63,89,57
425,gamma=0.45,77,82,145
425,vMax=450.0,100,98,81
425,scheme=sphere_packing,93,66,101
583,distribution=normal,139,161,142
583,ub=300,171,159,117
583,lb=100,93,140,167
800,mean=230,161,174,187
800,FILLER,237,207,294
800,FILLER,223,143,211
1096,FILLER,282,272,312
1096,FILLER,190,269,233
1096,FILLER,256,317,213
1501,FILLER,367,353,360
1501,FILLER,336,370,305
1501,FILLER,391,341,391
2053,FILLER,486,424,482
2053,FILLER,433,466,350
2053,FILLER,425,509,542
2807,FILLER,560,556,567
2807,FILLER,629,542,627
2807,FILLER,544,559,588
3834,FILLER,736,656,718
3834,FILLER,692,646,767
3834,FILLER,738,699,668
5233,FILLER,857,832,869
5233,FILLER,873,868,847
5233,FILLER,888,850,896
7137,FILLER,1048,1028,1023
7137,FILLER,1019,1043,1019
7137,FILLER,1023,1028,1079
9726,FILLER,1218,1260,1206
9726,FILLER,1195,1234,1203
9726,FILLER,1212,1211,1228
13244,FILLER,1392,1377,1361
13244,FILLER,1347,1344,1330
13244,FILLER,1355,1382,1328
18021,FILLER,1465,1492,1488
18021,FILLER,1477,1474,1495
18021,FILLER,1490,1469,1493
24503,FILLER,1558,1564,1571
24503,FILLER,1571,1575,1567
24503,FILLER,1575,1587,1547
33290,FILLER,1611,1626,1616
33290,FILLER,1633,1652,1637
33290,FILLER,1637,1626,1628
45196,FILLER,1663,1666,1663
45196,FILLER,1679,1669,1676
45196,FILLER,1669,1670,1675
61313,FILLER,1692,1691,1688
61313,FILLER,1687,1692,1693
61313,FILLER,1693,1688,1687
83115,FILLER,1696,1696,1693
83115,FILLER,1696,1697,1697
83115,FILLER,1695,1699,1694
112588,FILLER,1699,1698,1697
112588,FILLER,1698,1698,1699
112588,FILLER,1698,1699,1700
152400,FILLER,1700,1700,1699
152400,FILLER,1700,1699,1700
152400,FILLER,1700,1700,1700
