GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4
1636,simul_name=clump,96,19170,93,16653,103,19447,102,19338,73,15130
1636,num_simulations=10,74,14657,101,17655,118,22294,82,15168,118,25467
1636,sheet=8,83,15426,146,26105,103,18544,96,15059,98,20913
5834,scale=10,97,18160,91,17508,98,18130,90,18846,124,19477
5834,cell_count=17000,99,18040,86,17376,80,17035,92,18029,115,18780
5834,muG=0,87,16013,93,17914,75,18193,93,17646,79,16898
15010,sigmaG=1,837,166816,920,178834,848,159555,855,171595,841,163075
15010,muR=12,764,155892,855,165505,871,165456,788,162749,837,163031
15010,sigmaR=1,819,167156,868,175444,906,175871,856,162794,786,154178
38342,gamma=0.45,2697,591462,2588,572826,2690,591740,2741,596941,2754,608407
38342,vMax=10000.0,2670,600789,2676,588424,2775,602963,2541,555098,2767,629063
38342,remove=1,2656,576085,2577,557444,2784,607461,2761,599132,2739,583981
97262,scheme=sphere_packing,2265,458272,2280,455110,2221,462428,2248,455403,2213,452649
97262,distribution=fixed,2143,453598,2185,450616,2402,477868,2294,453959,2299,445250
97262,ub=300,2280,463602,2211,447801,2269,455031,2132,438510,2261,436750
245031,lb=150,3629,767430,3659,764978,3592,765339,3690,770492,3657,770552
245031,mean=230,3577,776144,3649,777123,3608,770247,3737,781849,3691,760671
245031,FILLER,3604,767240,3556,759474,3663,774267,3557,759912,3672,770441
613131,FILLER,10346,3246672,10255,3198106,10360,3288509,10239,3254352,10246,3252297
613131,FILLER,10431,3254651,10266,3286917,10455,3264301,10318,3235383,10354,3260720
613131,FILLER,10217,3248727,10476,3289973,10371,3263930,10362,3240598,10387,3288103
1524000,FILLER,15423,9450031,15438,9371852,15351,9375072,15314,9336527,15333,9315001
1524000,FILLER,15415,9403512,15394,9361144,15389,9343523,15327,9313051,15433,9370433
1524000,FILLER,15449,9377005,15372,9332855,15414,9362016,15403,9384962,15431,9312292
