GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_acc_dam,35,3067,45,3190,31,3080,37,3148,37,3085,43,3164,33,3134,37,2945,41,3157,42,3101
1636,num_simulations=10,47,3251,39,3235,28,3122,38,3132,37,3321,27,3104,35,3304,45,3235,40,3162,48,3360
1636,sheet=9,35,3090,43,3147,42,3004,26,3041,30,3010,24,3034,30,3097,54,3371,22,3072,37,3227
2251,scale=10,48,4204,76,4475,44,4273,61,4400,52,4332,42,4405,44,4376,48,4212,39,4160,40,4201
2251,cell_count=17000,59,4191,52,4247,58,4352,34,4168,60,4400,47,4196,61,4406,43,4346,65,4349,46,4225
2251,muG=0,62,4462,51,4361,46,4129,43,4312,38,4201,41,4117,53,4207,45,4134,56,4443,52,4248
3095,sigmaG=1,72,5923,71,5821,63,5969,85,6102,87,6058,81,5898,85,5770,69,5894,60,5841,67,5981
3095,muR=12,70,5894,65,5980,61,5841,70,5800,60,5635,99,6264,74,5842,55,5763,69,5904,80,6048
3095,sigmaR=1,86,5970,62,5823,91,5946,67,5683,72,5850,70,5935,78,5884,66,5859,89,6078,83,5955
4251,gamma=0.45,196,9202,183,8886,182,8947,193,9218,230,9557,171,8945,170,8741,180,9265,211,9365,212,9145
4251,vMax=10000.0,179,8993,221,9591,187,8890,192,9138,183,9049,185,8765,185,9034,190,9100,191,9266,212,9513
4251,remove=1,176,8856,217,9310,182,9081,212,9396,171,9012,191,9192,167,8482,170,8918,181,8792,182,8870
5834,scheme=sphere_packing,407,13520,413,14203,455,14683,390,13924,389,13917,445,14156,483,14889,454,14548,409,14317,437,13856
5834,distribution=fixed,450,14427,371,13874,416,14020,411,14019,454,14483,392,14037,453,14578,426,14346,392,13900,438,14219
5834,ub=300,452,14305,468,14689,388,13793,395,13515,410,13923,433,14059,376,13441,412,13998,444,14496,465,14684
8001,lb=100,1038,25012,1063,24622,1019,24538,1022,24657,1094,25200,924,23893,1062,24786,987,24662,1025,24479,986,24801
8001,mean=230,1009,24731,1037,24906,981,24320,984,24432,1021,24610,1032,24651,1006,25063,1029,24283,1011,24666,1007,24439
