GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_acc_dam,219,6076,217,6062,217,5903,194,5924,227,6034,184,5682,209,6099,223,6373,214,6278,187,5809
1636,num_simulations=10,219,5925,229,6083,230,6320,228,6121,197,5767,231,6186,237,5853,208,5983,201,6243,206,5820
1636,sheet=8,239,6295,211,5813,218,6256,210,6076,215,6134,213,5905,211,6087,214,5947,219,6163,233,6356
5834,scale=10,322,13076,332,13012,346,13197,353,13684,323,12817,388,13533,360,13570,313,13495,375,13166,373,13285
5834,cell_count=17000,345,13358,305,12663,342,12754,348,13092,318,13297,324,12818,326,13032,337,13236,365,13712,345,13344
5834,muG=0,383,14075,316,12868,340,13455,329,12932,384,13889,395,13670,384,13503,350,13330,347,13416,340,13357
15010,sigmaG=1,2039,42580,2133,42942,2090,42381,2144,42413,2136,42763,2162,42837,2110,42774,2073,42356,2121,42335,2115,42166
15010,muR=12,2066,42235,2081,42011,2084,42529,2072,42338,2109,42798,2059,41966,2154,42372,2093,42333,2170,42811,2180,42342
15010,sigmaR=1,2107,42463,2182,42775,2096,42217,2101,42588,2154,42446,2078,42477,1993,42126,2090,42743,2102,42151,2051,41786
38342,gamma=0.45,5988,96344,6087,97026,5875,96098,5988,97042,5905,96762,5999,96596,5933,96807,5922,95894,5854,96321,5863,96251
38342,vMax=10000.0,5936,96320,5977,96907,5852,95540,5948,95834,6028,96907,5876,96490,6030,96853,6033,97015,5959,96522,6009,96890
38342,remove=1,6054,96411,5925,95893,5931,96369,5924,96251,5970,96443,6019,96790,5983,96462,6038,96417,6002,96552,6052,96103
97262,scheme=sphere_packing,14003,181064,14037,180941,14111,181038,13976,180979,14088,181657,13913,180520,14068,180855,13940,180523,13998,180439,14216,181935
97262,distribution=fixed,14050,180881,14077,181064,14215,182379,13981,180698,13995,180854,14055,180967,14117,181432,13860,179988,13949,180832,14017,181119
97262,ub=300,14149,181660,14153,181464,14135,181532,14005,180881,14080,181268,14167,181326,14117,181227,14063,181200,14057,180947,14036,181102
245031,lb=150,10674,308816,10615,308793,10654,308866,10652,309008,10720,309208,10677,309274,10630,309047,10693,309285,10579,308685,10687,309167
245031,mean=230,10680,308927,10666,309206,10663,309078,10644,309082,10632,309034,10663,308875,10669,309812,10637,309126,10666,308931,10590,308825
245031,beta=-2.0,10647,308928,10656,309043,10626,309099,10649,309055,10638,309333,10603,309022,10646,309059,10665,309033,10712,309407,10669,309089
613131,FILLER,7557,663252,7536,663156,7509,663205,7524,663349,7598,663397,7566,663390,7513,663210,7565,663303,7519,663267,7597,663554
613131,FILLER,7546,663271,7558,663497,7542,663108,7579,663178,7557,663244,7541,663253,7568,663464,7498,663085,7562,663361,7526,663252
613131,FILLER,7526,663296,7539,663129,7582,663785,7545,663386,7530,663374,7526,663275,7585,663329,7565,663280,7529,663399,7535,663516
1524000,FILLER,6724,1570591,6714,1570845,6722,1570682,6739,1570584,6713,1570704,6689,1570639,6694,1570670,6712,1570823,6796,1570912,6729,1570644
1524000,FILLER,6710,1570751,6687,1570805,6679,1570588,6703,1570564,6703,1570930,6705,1571055,6760,1570733,6739,1570413,6736,1570946,6736,1570756
1524000,FILLER,6730,1570831,6732,1570644,6743,1570997,6705,1570659,6738,1570824,6714,1570695,6736,1570760,6699,1570900,6695,1570677,6699,1570672
