GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7
1636,simul_name=clump_acc_dam,197,8134,209,8581,208,8371,225,8597,235,9301,203,8522,210,8566,235,9003
1636,num_simulations=10,193,8278,201,8395,186,8382,190,8199,207,8339,193,7596,213,8393,224,9006
1636,sheet=8,212,8510,226,9035,168,7727,209,8231,229,9191,249,9092,178,8139,198,8350
5834,scale=10,221,14658,217,14694,213,15320,258,15793,212,14908,224,15199,210,14332,247,15662
5834,cell_count=17000,230,15526,224,14901,231,14995,212,15040,184,14318,239,15450,223,15421,232,15282
5834,muG=0,200,15142,256,15730,182,14884,237,15263,212,15003,227,15812,212,15063,218,15630
15010,sigmaG=1,1639,55283,1651,56159,1651,54334,1658,55690,1645,55633,1703,56011,1777,55776,1721,56419
15010,muR=12,1795,55706,1725,56912,1799,56856,1669,56394,1718,55869,1685,55544,1644,55318,1714,56122
15010,sigmaR=1,1703,55487,1709,56316,1744,55821,1741,56549,1731,56287,1706,55801,1752,57391,1754,57477
38342,gamma=0.45,4051,117227,4197,118578,4126,118334,4139,119255,4068,117724,4141,118534,4162,118459,4274,118738
38342,vMax=10000.0,4115,117081,3951,117576,4112,118552,4129,118167,4100,117277,4107,117650,4127,117566,4052,118239
38342,remove=1,4117,118103,4143,118942,4073,118763,4126,118067,4123,117662,4189,118580,4203,117475,4129,118742
97262,scheme=sphere_packing,11230,211886,11218,212100,11289,213336,11203,212884,11272,213246,11347,212174,11302,212921,11360,212701
97262,distribution=fixed,11256,211032,11233,211562,11291,212514,11208,212141,11289,211501,11355,212980,11296,212632,11183,212050
97262,ub=300,11283,212422,11330,212108,11278,212136,11311,211726,11217,211252,11265,212927,11236,212187,11170,211885
245031,lb=150,16990,465907,16980,466788,16968,465942,16965,467423,16983,466522,16974,466968,16986,467176,16980,467375
245031,mean=230,16979,465552,16948,467063,16984,466190,16971,465858,16979,466416,16986,466343,16984,467226,16975,467888
245031,beta=-1.0,16968,466358,16987,467740,16980,467089,16984,466499,16986,466945,16982,465690,16987,467666,16975,465253
613131,FILLER,17000,1245706,17000,1246491,17000,1245593,17000,1243798,17000,1245374,17000,1245129,17000,1246234,17000,1243799
613131,FILLER,17000,1242487,17000,1243875,17000,1245830,17000,1244066,17000,1244184,17000,1243523,17000,1243847,17000,1246499
613131,FILLER,17000,1246426,17000,1242953,17000,1246708,17000,1243442,17000,1242035,17000,1244640,17000,1244595,17000,1243556
1524000,FILLER,17000,3139090,17000,3144289,17000,3145918,17000,3140816,17000,3141554,17000,3140246,17000,3142439,17000,3144675
1524000,FILLER,17000,3146313,17000,3143557,17000,3143086,17000,3142394,17000,3146652,17000,3141987,17000,3142608,17000,3143241
1524000,FILLER,17000,3149504,17000,3143567,17000,3147085,17000,3140540,17000,3144498,17000,3146461,17000,3143530,17000,3145266
