GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_acc_dam,116,2087,111,2008,106,2145,107,2004,103,2179,103,2053,112,2072,107,1858,122,2252,112,2132
1636,num_simulations=10,114,2021,134,2398,120,2274,135,2395,116,2157,119,2385,114,2275,106,2106,110,2149,129,2235
1636,sheet=8,101,2218,126,2222,126,2261,101,2209,87,1944,98,2034,100,1906,118,2167,98,2078,119,2417
5834,scale=10,113,3722,95,3580,132,3941,91,3453,130,3938,111,3864,112,3655,134,3941,90,3557,100,3697
5834,cell_count=17000,104,3640,114,3744,143,3918,127,3887,100,3548,127,3784,109,3703,105,3905,110,3683,106,3864
5834,muG=0,111,3933,131,3886,105,3849,101,3599,98,3500,114,3738,102,3796,111,3775,117,3789,118,3854
15010,sigmaG=1,994,18201,1005,18027,1077,18662,1018,18070,1056,18578,1023,17835,984,17952,1034,18322,921,17611,1016,18160
15010,muR=12,967,17507,1010,17852,1016,17936,977,17717,1000,18051,957,17781,1018,18304,1007,18780,978,18175,1012,18353
15010,sigmaR=1,976,17579,970,17912,982,17749,999,18010,998,18059,1050,18149,1022,17800,1015,18177,961,17851,1044,18223
38342,gamma=0.45,2966,49701,2986,50269,2919,49546,2999,51036,2926,49969,2965,49793,2935,49581,2973,50015,2952,49516,2983,51116
38342,vMax=40000.0,3003,50779,2980,50396,2930,50154,3005,50820,2940,49706,2963,50759,2902,50176,2953,49753,2972,50686,2895,50154
38342,remove=1,2933,49676,3002,50622,2903,50010,2900,49630,2967,49915,2958,49738,2899,49391,2895,49845,2850,49648,3012,50281
97262,scheme=sphere_packing,5069,73686,5022,73716,5025,73445,5071,74033,5028,73880,5057,73943,5115,74255,4959,73613,5086,74305,5050,73931
97262,distribution=fixed,5015,73321,5007,74446,5072,73862,5051,74209,5107,73907,5013,73641,4977,73912,5005,74267,5038,75001,5043,74068
97262,ub=300,5131,74276,5117,74598,5039,74020,5151,74467,5031,73935,5043,73400,5053,74620,5051,74061,5155,74724,5166,75400
245031,lb=150,12254,148715,12163,148069,12200,149917,12178,148925,12055,147572,12173,148055,12160,148584,12089,148407,12170,148233,12193,148679
245031,mean=230,12170,147407,12190,148667,12266,149200,12253,148121,12184,148529,12250,148672,12217,148889,12188,148432,12186,148599,12172,148002
245031,beta=-2.0,12178,148246,12183,148517,12183,149294,12152,148753,12142,148279,12156,147969,12191,149392,12196,147384,12180,148534,12220,148339
613131,FILLER,16971,459121,16975,461165,16977,463611,16968,460921,16973,461164,16978,461906,16975,462028,16970,461331,16968,461032,16969,459940
613131,FILLER,16974,462039,16984,460403,16978,463699,16975,462266,16967,462840,16964,460516,16963,461546,16972,462880,16972,463199,16976,462542
613131,FILLER,16979,460161,16972,461024,16978,461925,16970,461473,16971,461710,16980,462288,16969,462085,16981,461319,16976,461975,16964,461436
1524000,FILLER,17000,1199528,17000,1200254,17000,1198384,17000,1198962,17000,1198625,17000,1198575,17000,1198307,17000,1199758,17000,1196105,17000,1198061
1524000,FILLER,17000,1199232,17000,1199770,17000,1196332,17000,1196688,17000,1199122,17000,1198410,17000,1202132,17000,1198301,17000,1197868,17000,1199199
1524000,FILLER,17000,1199131,17000,1199186,17000,1198823,17000,1200205,17000,1199062,17000,1198912,17000,1199526,17000,1195976,17000,1201476,17000,1197801
