GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_comp,21,3174,29,3285,14,3364,18,3571,21,3368,24,3176,25,3349,21,3163,24,3503,26,3374
1636,num_simulations=10,32,3367,26,3462,24,3170,26,3404,22,3232,20,3078,21,3186,14,3192,18,3169,23,3181
1636,sheet=9,15,3232,29,3516,19,3647,24,3677,16,2968,21,3239,18,3359,22,3038,23,3526,24,3540
2251,scale=10,24,4466,33,4335,19,4149,29,4381,40,4863,33,4485,22,4616,24,4388,31,4420,29,4387
2251,cell_count=17000,26,4602,37,4917,32,4393,30,4210,33,4229,25,4245,31,4307,35,4572,36,4698,22,4633
2251,muG=0,19,4378,27,4663,31,4810,31,4530,32,4238,32,4415,39,4719,36,4703,39,4398,29,4208
3095,sigmaG=1,31,6152,29,5927,50,6287,42,6485,46,6487,45,6096,41,6497,32,6282,35,6119,35,6061
3095,muR=12,30,6134,38,6618,24,6153,45,6508,33,5873,37,5799,44,6288,47,6207,38,6489,60,6373
3095,sigmaR=1,42,5808,37,6117,44,5939,48,6628,36,6032,48,6154,29,6008,36,6031,40,6707,53,6403
4251,gamma=0.45,88,11351,97,11505,76,10339,97,12119,87,11300,102,11631,97,11521,94,10522,104,11853,95,11974
4251,vMax=10000.0,91,11175,104,11559,97,11729,74,10663,113,11917,81,11174,89,11186,82,11318,113,12415,74,11093
4251,remove=1,98,11002,73,10984,97,12190,103,11338,79,10877,108,11114,82,11641,93,10963,102,11360,83,11333
5834,scheme=sphere_packing,233,23913,254,25570,194,22404,264,25258,216,21798,269,24307,207,20768,209,21615,218,22753,258,23997
5834,distribution=fixed,236,22779,211,19881,265,26018,252,23199,190,21978,255,24146,216,21880,212,21449,192,21964,239,23662
5834,ub=300,234,21415,226,21945,200,20482,222,21992,243,23901,320,28379,224,20615,209,20575,248,23383,175,20176
8001,lb=100,1231,88795,1433,89786,1315,88603,1272,96673,1476,90410,1553,95864,1384,86796,1464,91835,1447,89760,1570,96584
8001,mean=230,1270,83649,1171,74748,1292,88695,1379,89357,1303,90791,1323,85039,1426,92703,1237,81431,1246,85380,1342,83588
8001,kappa=0.0,1335,86132,1143,80630,1291,88070,1309,89821,1403,92733,1275,83641,1305,90116,1156,82744,1586,84115,1560,98435
10963,FILLER,1342,90585,1236,88783,1277,91186,1419,88136,1308,90102,1385,91302,1233,81604,1280,88719,1213,86709,1336,86590
10963,FILLER,1426,95722,1160,82194,1483,92673,1354,88374,1245,94534,1340,84794,1212,90409,1362,88451,1517,85693,1392,90457
10963,FILLER,1259,88835,1401,93417,1398,88055,1413,94320,1289,87678,1343,93466,1356,87381,1310,87280,1344,89618,1340,83203
15010,FILLER,2022,118026,2042,124909,2020,116819,1850,114417,2230,115165,1891,110034,1992,119176,2110,118362,1914,118141,1974,117122
15010,FILLER,1992,122766,2058,128448,2042,124486,1839,121386,2183,119438,2023,119013,2079,112068,2176,125735,2247,112651,1956,118070
15010,FILLER,1791,118089,1971,119277,1916,115532,1939,123668,2149,121175,2100,119822,1859,107491,1952,115084,1998,118759,1946,117284
20534,FILLER,2712,173214,3002,172612,3137,172826,3078,178754,3571,164120,3149,168478,2824,169748,2807,162304,3306,166544,2770,159090
20534,FILLER,2947,161349,2782,168597,2915,170264,2657,165694,2741,156968,2961,167751,2883,164805,3105,170143,3240,166149,3023,163429
20534,FILLER,2603,166746,3256,168795,3013,169230,2817,178607,3061,169076,2994,180592,3159,171669,3061,161358,2850,159854,3026,163224
28070,FILLER,4224,235554,4597,241201,4531,240360,4357,244256,4421,235532,4783,233301,4094,242168,4076,245229,4434,244088,4002,233359
28070,FILLER,3976,240915,4105,237914,4577,248417,4422,240246,4204,247553,4675,248050,4491,255618,4415,244528,4460,235764,4204,234567
28070,FILLER,4322,250734,4573,252707,4365,248494,4401,243127,4775,249071,4217,244604,4764,257020,4356,239118,4477,245429,4466,248564
38342,FILLER,6471,368581,6564,369199,6114,351710,6097,370526,6353,342628,6517,356136,6202,362341,6131,367969,6348,366697,6521,359722
38342,FILLER,6150,378373,6366,355442,6233,368654,6364,347234,6652,341409,6557,360340,5985,359496,6344,364001,6261,345641,7118,356672
38342,FILLER,6159,354745,6860,353403,6155,366874,6376,353655,6041,371989,7056,331608,6153,374973,6383,352404,6419,347474,6764,349149
52332,FILLER,7482,368871,6970,387079,7071,370381,7064,388518,7168,399254,6916,399871,7204,376639,7121,385857,6561,389923,6945,399793
52332,FILLER,7617,364619,7582,385633,7030,388913,7117,392747,7092,389487,6974,415076,7594,367783,7140,389543,7140,391929,7293,366973
52332,FILLER,7431,367084,6938,383603,7156,378375,7113,375335,7971,362583,7026,377657,6883,386912,7046,378116,8468,341383,6855,392545
71371,FILLER,8226,383550,7114,416952,7605,397779,7110,401799,7151,401098,7261,397391,7370,397744,7216,409295,7414,407175,7569,396654
71371,FILLER,7306,394885,7052,400985,7579,398440,7133,390135,7680,404355,8361,391203,7262,393233,7726,403495,7700,391349,7212,411305
71371,FILLER,7278,423040,7637,391472,7193,408236,7113,401273,7212,408645,7552,407826,7392,387522,7695,389765,6885,403571,7749,386450
97262,FILLER,7634,395114,7525,385676,7786,379467,8494,375857,7470,402227,7988,379942,7857,385211,7638,390131,7634,383811,7740,370753
97262,FILLER,8281,381693,8616,360571,7792,379129,7647,384686,7098,389707,7200,388301,8223,381451,7722,388414,7848,375671,7839,379671
97262,FILLER,7583,390100,7847,386573,7940,380746,8021,392170,7399,396487,7560,383384,8757,377056,7386,385891,7620,376671,7537,388590
132444,FILLER,9190,508273,9127,506632,9897,498818,9834,490428,9936,493493,9425,509448,10181,477812,9846,491090,8995,510245,8644,509685
132444,FILLER,9665,489929,9194,501687,8962,508472,10260,497510,9601,497781,8903,504443,8654,511267,9258,505560,9253,499376,10843,479545
132444,FILLER,8637,508330,9045,510977,9367,495874,9152,492458,10076,487840,9137,493968,9916,491831,9234,498463,9800,482014,9542,500011
180215,FILLER,11200,588785,10927,600277,10334,596449,10723,591286,10493,610627,10482,603357,10312,601531,10553,600722,10046,604906,11795,579936
180215,FILLER,10981,596631,10472,600312,10890,596304,10461,616694,11716,577158,11105,596648,10032,608967,10761,603007,10403,598341,10107,613879
180215,FILLER,10658,611818,10473,601661,12429,561361,10696,610922,10502,602304,11008,599257,10288,596078,9885,606801,10365,602132,10912,598402
245031,FILLER,13497,724786,12191,756864,12516,741905,11747,757945,12197,748009,12023,750926,12565,742027,12328,749817,12339,737292,11904,762540
245031,FILLER,11594,767943,11793,758964,11983,759809,12970,735362,11745,756831,12027,748071,12022,761499,11918,758607,12412,754767,11384,758495
245031,FILLER,12598,744496,11865,767869,13416,729741,11914,757330,12308,751085,11809,760422,12514,739744,12630,758400,12457,745734,12511,753085
332907,FILLER,14093,1000787,14244,1001951,13354,1005535,14915,967656,13809,1004746,13316,1011849,13686,1025258,14109,992848,14066,993642,13752,1008502
332907,FILLER,13400,1006940,13703,1006344,14300,992855,14117,998658,14129,998698,14402,991080,14090,1006668,13715,1009523,13845,1009934,13710,999131
332907,FILLER,14375,979855,14479,992591,14034,991686,13740,1009136,14148,997220,13847,999046,14321,984012,13831,1009944,14497,979502,14124,990346
451960,FILLER,15622,1400388,15609,1402217,15482,1407634,15583,1421193,15147,1428924,15113,1422728,15072,1441796,15437,1403474,15416,1409691,15442,1419747
451960,FILLER,15212,1412674,15287,1414328,15750,1391561,15373,1434524,15507,1411721,15659,1384640,15784,1388936,15291,1428179,15328,1419904,16218,1332985
451960,FILLER,15423,1396256,16046,1368392,15423,1414327,15287,1433616,15729,1396798,15104,1437394,15558,1411833,15607,1412465,15293,1418277,15591,1408616
613131,FILLER,16200,1977906,16182,1969267,16207,1979640,16305,1961374,16358,1954827,16132,1995993,16099,1999579,16255,1982595,16346,1962734,16224,1963645
613131,FILLER,16092,1992883,16482,1907538,16354,1961061,16142,1984493,16352,1959581,16524,1927758,16495,1935926,16164,1982189,16517,1920990,16317,1950762
613131,FILLER,16434,1942764,16381,1971104,16064,2001144,16455,1958373,16336,1959645,16382,1947868,16193,1979204,16222,1967557,16373,1968634,16091,2000637
831159,FILLER,16781,3002159,16835,2949459,16856,2962936,16819,2969884,16829,2962837,16794,3004255,16831,2988568,16755,3011330,16872,2907959,16835,2958938
831159,FILLER,16850,3002163,16863,2935469,16792,3001409,16843,2984827,16843,2982197,16823,3008214,16794,3021809,16880,2959253,16803,2983500,16737,3059289
831159,FILLER,16861,2971807,16714,3084561,16791,3009016,16746,3070183,16770,3027010,16760,3028812,16821,3024569,16860,2992298,16810,3000266,16799,3000478
1125885,FILLER,16965,4659330,16942,4795051,16957,4725489,16975,4582915,16963,4635202,16962,4617557,16989,4507880,16978,4606847,16962,4655875,16957,4686708
1125885,FILLER,16976,4691699,16978,4609533,16961,4618429,16975,4586787,16951,4741401,16948,4768618,16974,4550920,16965,4748316,16966,4635544,16962,4630352
1125885,FILLER,16969,4525544,16953,4741556,16969,4664718,16974,4550672,16986,4437476,16951,4697504,16968,4625036,16960,4778633,16956,4713465,16984,4349883
1524000,FILLER,16999,7203014,16998,7202055,16995,7343452,16997,7503001,16998,7377011,16999,7352446,16994,7487920,17000,6828941,16990,7497378,16997,7108133
1524000,FILLER,16996,7338431,16991,7556798,16998,7453833,16994,7597448,16997,7474720,16999,7035750,16996,7342139,16995,7370673,16995,7406246,16997,7430612
1524000,FILLER,16996,7535120,16995,7202900,16997,7419016,17000,7100361,16994,7549084,16996,7495244,16997,7379903,16998,6982249,16995,7280054,16995,7383036
