GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
327,simul_name=clump_comp,16,16,7
327,num_simulations=3,10,22,8
327,sheet=7,17,6,13
450,scale=50,17,33,20
450,cell_count=3400,26,24,19
450,muG=0,22,30,13
619,sigmaG=1,23,27,21
619,muR=12,27,24,40
619,sigmaR=1,23,23,32
850,gamma=0.45,37,27,37
850,vMax=10000.0,42,40,58
850,remove=1,30,29,26
1166,scheme=sphere_packing,48,56,54
1166,distribution=fixed,55,49,51
1166,ub=300,52,58,63
1600,lb=150,85,73,72
1600,mean=230,66,80,85
1600,kappa=-1.0,57,70,75
2192,FILLER,102,84,92
2192,FILLER,108,95,99
2192,FILLER,109,100,82
3002,FILLER,128,144,128
3002,FILLER,140,147,134
3002,FILLER,126,122,131
4106,FILLER,188,187,176
4106,FILLER,150,178,184
4106,FILLER,180,150,171
5614,FILLER,247,226,219
5614,FILLER,231,237,234
5614,FILLER,260,253,283
7668,FILLER,295,298,348
7668,FILLER,345,328,278
7668,FILLER,349,318,291
10466,FILLER,421,445,426
10466,FILLER,423,436,406
10466,FILLER,419,414,410
14274,FILLER,595,584,616
14274,FILLER,521,559,573
14274,FILLER,568,625,561
19452,FILLER,728,774,738
19452,FILLER,772,734,749
19452,FILLER,742,741,766
26488,FILLER,1025,982,982
26488,FILLER,985,1001,1035
26488,FILLER,988,976,943
36043,FILLER,1267,1310,1224
36043,FILLER,1330,1263,1273
36043,FILLER,1185,1301,1284
49006,FILLER,1525,1543,1541
49006,FILLER,1561,1580,1588
49006,FILLER,1570,1564,1549
66581,FILLER,1935,1979,1960
66581,FILLER,1998,1951,1952
66581,FILLER,1948,1925,1932
90392,FILLER,2304,2354,2301
90392,FILLER,2287,2306,2362
90392,FILLER,2297,2313,2273
122626,FILLER,2649,2594,2624
122626,FILLER,2667,2661,2670
122626,FILLER,2664,2632,2674
166231,FILLER,2958,2911,2913
166231,FILLER,2914,2946,2899
166231,FILLER,2941,2953,2968
225177,FILLER,3156,3120,3154
225177,FILLER,3176,3140,3128
225177,FILLER,3189,3152,3169
304800,FILLER,3287,3284,3297
304800,FILLER,3284,3294,3310
304800,FILLER,3289,3295,3285
