GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
327,simul_name=clump_comp,25,26,20
327,num_simulations=3,25,26,30
327,sheet=7,41,13,24
450,scale=50,45,31,38
450,cell_count=3400,42,29,45
450,muG=0,56,36,24
619,sigmaG=1,43,93,43
619,muR=12,37,54,40
619,sigmaR=1,57,60,40
850,gamma=0.45,50,81,55
850,vMax=1400.0,79,72,78
850,remove=1,97,53,51
1166,scheme=sphere_packing,88,113,103
1166,distribution=fixed,76,94,84
1166,ub=300,66,79,73
1600,lb=150,127,130,123
1600,mean=230,120,123,107
1600,kappa=0.0,99,109,146
2192,FILLER,166,201,161
2192,FILLER,155,147,159
2192,FILLER,177,185,124
3002,FILLER,171,223,251
3002,FILLER,204,226,205
3002,FILLER,213,259,208
4106,FILLER,279,273,302
4106,FILLER,288,309,317
4106,FILLER,283,295,288
5614,FILLER,410,435,397
5614,FILLER,393,449,406
5614,FILLER,435,416,383
7668,FILLER,498,497,563
7668,FILLER,523,490,543
7668,FILLER,611,550,526
10466,FILLER,709,668,654
10466,FILLER,655,604,733
10466,FILLER,726,655,700
14274,FILLER,979,901,950
14274,FILLER,955,845,891
14274,FILLER,907,922,929
19452,FILLER,1136,1133,1198
19452,FILLER,1199,1121,1136
19452,FILLER,1148,1073,1238
26488,FILLER,1498,1426,1441
26488,FILLER,1419,1456,1510
26488,FILLER,1371,1463,1427
36043,FILLER,1785,1747,1788
36043,FILLER,1818,1790,1785
36043,FILLER,1866,1786,1819
49006,FILLER,2139,2156,2110
49006,FILLER,2139,2098,2143
49006,FILLER,2145,2205,2106
66581,FILLER,2406,2471,2531
66581,FILLER,2495,2506,2490
66581,FILLER,2514,2428,2493
90392,FILLER,2770,2816,2802
90392,FILLER,2776,2791,2767
90392,FILLER,2746,2786,2851
122626,FILLER,3007,3012,3036
122626,FILLER,3029,3021,3076
122626,FILLER,3055,3013,3040
166231,FILLER,3196,3178,3212
166231,FILLER,3204,3204,3195
166231,FILLER,3206,3204,3230
225177,FILLER,3307,3310,3310
225177,FILLER,3312,3310,3306
225177,FILLER,3302,3301,3321
304800,FILLER,3358,3362,3364
304800,FILLER,3359,3361,3349
304800,FILLER,3366,3367,3356
