GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_comp,182,18583,203,20850,140,15507,119,14716,147,16962,146,18091,200,18745,129,13607,167,16134,193,20925
1636,num_simulations=10,125,13077,175,19526,176,18185,151,16429,158,16825,184,17705,267,25647,136,15717,146,15452,183,18821
1636,sheet=8,179,17349,177,18572,152,15437,167,18540,167,17859,152,18281,131,14325,169,17146,169,16290,127,14493
5834,scale=10,134,18811,145,16521,121,17290,113,15592,148,17301,138,17617,107,15645,120,16634,107,15963,123,17512
5834,cell_count=17000,110,16786,121,16491,113,16462,128,17486,121,17098,143,16804,126,17303,112,16407,127,16290,132,16347
5834,muG=0,117,17018,136,17329,120,16476,129,16873,121,17115,106,15582,113,15592,107,15993,135,18663,120,15796
15010,sigmaG=1,1312,148178,1413,155053,1320,144255,1365,151515,1240,135146,1329,140633,1402,150377,1285,140218,1387,148387,1246,137768
15010,muR=12,1346,143573,1370,147994,1382,152079,1258,137724,1434,151982,1399,153957,1319,143823,1307,141810,1420,151174,1269,137482
15010,sigmaR=1,1406,158311,1266,134867,1348,145887,1402,149699,1299,142050,1248,135920,1451,158427,1347,146774,1299,144761,1335,152916
38342,gamma=0.45,4170,504585,4268,514185,3971,479334,3973,474008,3976,471257,3944,489002,4089,488919,4318,526342,4322,510112,4201,507398
38342,vMax=10000.0,4194,510266,4272,507418,4188,503111,4049,482738,4116,485259,4178,512881,4203,498774,4247,509201,4066,483088,4247,512141
38342,remove=1,4377,519143,4156,497649,4015,481092,4145,502873,4079,489680,4279,511742,4289,523357,4186,504013,4220,508805,4127,495530
97262,scheme=sphere_packing,3158,436462,3184,440602,3098,427794,3146,433186,3151,425825,3260,436087,3231,432740,3315,448903,3220,434908,3210,429257
97262,distribution=fixed,3106,438430,3095,427515,3046,427496,3287,430722,3150,437535,3219,441675,3206,440640,3137,429890,3124,433983,3299,438346
97262,ub=300,3145,428714,3223,433354,3134,424859,3192,435710,3243,432812,3253,429382,3128,443034,3077,426443,3236,440908,3219,438874
245031,lb=150,4575,761194,4647,753660,4504,746684,4436,749142,4497,751583,4696,756493,4659,756957,4539,756054,4685,757470,4705,755208
245031,mean=230,4501,754413,4580,753808,4580,753182,4583,750353,4594,753807,4647,753873,4611,753549,4704,759356,4623,751611,4771,761468
245031,kappa=0.0,4701,752947,4612,754340,4562,756327,4601,762691,4652,750945,4606,754690,4619,753733,4688,758853,4543,754444,4544,750969
613131,FILLER,12645,3116821,12636,3121485,12564,3113318,12603,3129621,12627,3134220,12663,3157193,12661,3121740,12601,3124532,12558,3093363,12609,3137803
613131,FILLER,12542,3114467,12706,3147037,12743,3146330,12697,3150643,12658,3124311,12651,3128205,12658,3121758,12552,3113841,12647,3126233,12685,3108821
613131,FILLER,12636,3133620,12640,3107963,12635,3122596,12624,3106860,12562,3125603,12556,3078326,12546,3121517,12658,3131658,12644,3149240,12499,3091830
1524000,FILLER,16446,8841129,16404,8917354,16366,8898306,16428,8914913,16393,8950171,16412,8900829,16420,8886124,16439,8909527,16391,8882040,16388,8883343
1524000,FILLER,16419,8871508,16390,8872522,16425,8890933,16444,8898799,16368,8949647,16421,8870007,16361,8848976,16404,8901684,16371,8871377,16391,8948134
1524000,FILLER,16434,8904657,16404,8882138,16408,8887311,16419,8913105,16387,8910746,16425,9008014,16448,8960929,16391,8923637,16422,8870175,16402,8870224
