GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=comp,1
16,num_simulations=1,2
16,sheet=3,0
21,scale=100,1
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,1
41,muR=12,1
41,sigmaR=1,4
84,gamma=0.45,0
84,vMax=800.0,3
84,remove=1,2
165,kappa=-0.01,6
165,FILLER,5
165,FILLER,6
333,FILLER,8
333,FILLER,5
333,FILLER,3
660,FILLER,18
660,FILLER,15
660,FILLER,16
1320,FILLER,40
1320,FILLER,39
1320,FILLER,45
2010,FILLER,84
2010,FILLER,97
2010,FILLER,91
2670,FILLER,124
2670,FILLER,129
2670,FILLER,148
3329,FILLER,154
3329,FILLER,172
3329,FILLER,193
3990,FILLER,200
3990,FILLER,197
3990,FILLER,226
4679,FILLER,261
4679,FILLER,248
4679,FILLER,259
5340,FILLER,343
5340,FILLER,407
5340,FILLER,271
6000,FILLER,398
6000,FILLER,318
6000,FILLER,397
6600,FILLER,487
6600,FILLER,597
6600,FILLER,550
16500,FILLER,1425
16500,FILLER,1410
16500,FILLER,1384
30570,FILLER,2012
30570,FILLER,1900
30570,FILLER,1918
50099,FILLER,2183
50099,FILLER,2190
50099,FILLER,2188
66630,FILLER,2258
66630,FILLER,2259
66630,FILLER,2231
99899,FILLER,2267
99899,FILLER,2289
99899,FILLER,2285
133179,FILLER,2292
133179,FILLER,2294
133179,FILLER,2289
150000,FILLER,2293
150000,FILLER,2296
150000,FILLER,2291
