GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2,GFP IU run=3,GFP IU run=4,GFP IU run=5,GFP IU run=6
33,simul_name=comp,0,2,1,0,2,0,0
33,num_simulations=10,0,0,0,3,1,1,0
33,sheet=3,0,0,0,0,1,1,1
42,scale=50,2,0,1,1,3,0,1
42,cell_count=4600,0,1,1,1,0,0,0
42,muG=0,1,0,0,0,0,1,1
83,sigmaG=1,1,0,2,0,3,1,0
83,muR=12,0,2,0,2,3,0,2
83,sigmaR=1,4,0,2,1,0,2,0
168,gamma=0.45,2,2,1,2,5,2,1
168,vMax=1600.0,3,3,2,3,4,0,3
168,remove=1,6,3,4,2,4,3,4
330,kappa=-0.03,9,5,7,10,5,2,11
330,FILLER,7,11,8,3,0,7,2
330,FILLER,5,4,5,4,6,6,7
666,FILLER,13,19,20,29,18,10,16
666,FILLER,12,14,9,8,17,8,18
666,FILLER,8,12,11,13,11,15,9
1320,FILLER,33,32,28,36,39,36,46
1320,FILLER,30,35,32,39,29,35,40
1320,FILLER,32,40,36,37,33,34,37
2640,FILLER,83,96,91,96,92,99,88
2640,FILLER,112,87,110,98,94,66,98
2640,FILLER,106,84,92,87,100,78,98
4020,FILLER,187,174,182,186,210,157,183
4020,FILLER,195,223,201,207,232,208,181
4020,FILLER,165,171,157,178,170,202,209
5340,FILLER,323,280,350,340,271,320,306
5340,FILLER,329,339,329,303,349,317,426
5340,FILLER,277,315,321,347,344,291,263
6659,FILLER,431,403,419,405,452,453,457
6659,FILLER,386,474,491,471,405,523,558
6659,FILLER,553,447,542,378,461,496,393
7980,FILLER,676,620,647,658,756,759,560
7980,FILLER,606,581,655,686,581,589,615
7980,FILLER,620,573,771,706,842,796,564
9359,FILLER,1118,716,906,890,1015,872,721
9359,FILLER,768,825,1163,893,783,874,1039
9359,FILLER,835,830,889,628,853,830,1098
10680,FILLER,1394,1173,904,982,1177,1196,1082
10680,FILLER,1169,979,1339,1131,1536,965,1312
10680,FILLER,1177,1102,946,1201,1038,966,1391
12000,FILLER,1432,1342,1646,1107,1517,1432,1384
12000,FILLER,1509,1025,1231,1264,1536,1480,1152
12000,FILLER,1508,1422,1219,1126,1367,1326,1466
13200,FILLER,1749,1330,1568,1468,1483,1460,1336
13200,FILLER,1443,1417,1824,1472,1654,1651,1629
13200,FILLER,1523,1418,1754,1742,1859,1593,1333
33000,FILLER,3658,3802,3543,3702,3639,3751,3581
33000,FILLER,3635,3597,3574,3847,3553,3675,3716
33000,FILLER,3891,3896,3543,3739,3519,3763,3594
61140,FILLER,4260,4244,4275,4394,4186,4295,4258
61140,FILLER,4325,4332,4211,4340,4238,4250,4320
61140,FILLER,4264,4264,4269,4309,4300,4332,4188
100199,FILLER,4464,4464,4492,4447,4493,4492,4503
100199,FILLER,4499,4474,4499,4507,4474,4478,4485
100199,FILLER,4466,4492,4474,4464,4484,4518,4464
133260,FILLER,4551,4530,4534,4544,4562,4550,4536
133260,FILLER,4541,4543,4532,4523,4560,4573,4526
133260,FILLER,4542,4535,4547,4553,4541,4560,4535
199799,FILLER,4586,4578,4584,4583,4579,4589,4579
199799,FILLER,4591,4584,4592,4583,4575,4573,4576
199799,FILLER,4586,4592,4591,4572,4586,4585,4575
266358,FILLER,4590,4596,4593,4589,4593,4596,4594
266358,FILLER,4595,4590,4593,4595,4587,4591,4590
266358,FILLER,4592,4596,4592,4598,4586,4594,4590
300000,FILLER,4597,4597,4595,4595,4593,4593,4596
300000,FILLER,4600,4595,4594,4597,4598,4596,4600
300000,FILLER,4596,4592,4593,4593,4595,4597,4595
