GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,4,548,4,589,6,601
327,num_simulations=3,5,576,3,541,2,542
327,sheet=7,4,589,0,551,5,608
450,scale=50,6,788,9,770,5,750
450,cell_count=3400,5,770,1,723,3,766
450,muG=0,4,753,4,742,4,751
619,sigmaG=1,7,1077,5,1082,3,1100
619,muR=12,8,1121,2,989,10,1063
619,sigmaR=1,3,1018,2,1052,2,1051
850,gamma=0.45,9,1436,9,1396,6,1464
850,vMax=2000.0,5,1432,6,1379,9,1433
850,remove=1,7,1423,12,1429,14,1453
1166,kappa=0.0,11,1930,14,1892,16,1944
1166,FILLER,12,1995,16,1981,17,1954
1166,FILLER,9,1961,15,2082,15,1965
1600,FILLER,21,2705,24,2703,13,2719
1600,FILLER,18,2714,19,2662,15,2625
1600,FILLER,22,2661,16,2668,21,2772
2192,FILLER,44,3704,24,3682,33,3736
2192,FILLER,33,3675,27,3582,21,3634
2192,FILLER,38,3676,25,3644,37,3620
3002,FILLER,54,5054,51,5129,47,5117
3002,FILLER,35,5117,42,5126,47,5198
3002,FILLER,36,5139,37,5140,52,5129
4106,FILLER,70,6904,66,6833,67,7151
4106,FILLER,60,6980,60,6907,88,7055
4106,FILLER,77,7139,72,6922,70,6970
5614,FILLER,113,9511,90,9517,103,9527
5614,FILLER,112,9484,149,9560,110,9708
5614,FILLER,97,9566,84,9525,111,9577
7668,FILLER,170,13091,172,12900,160,13030
7668,FILLER,214,13125,188,13094,167,13057
7668,FILLER,167,12921,196,12950,198,13220
10466,FILLER,272,17686,282,17845,279,18192
10466,FILLER,276,17651,261,17931,274,17848
10466,FILLER,272,17966,308,17815,304,17709
14274,FILLER,419,24562,447,24133,417,24344
14274,FILLER,455,24515,443,24169,394,24382
14274,FILLER,398,24644,491,24093,433,24102
19452,FILLER,744,33159,750,32879,616,32697
19452,FILLER,629,33073,608,33164,607,33012
19452,FILLER,716,32955,620,33016,722,33056
26488,FILLER,874,45134,958,45020,808,44797
26488,FILLER,885,44946,936,45039,898,44831
26488,FILLER,874,45363,853,45042,983,44911
36043,FILLER,1320,61391,1328,61716,1330,61067
36043,FILLER,1433,61010,1147,60596,1293,61609
36043,FILLER,1110,60859,1407,61198,1256,61266
49006,FILLER,1605,83466,1693,83163,1728,83343
49006,FILLER,1427,83309,1497,83220,1554,83006
49006,FILLER,1688,83041,1614,83915,1521,82849
66581,FILLER,2105,113690,2080,112676,1931,113867
66581,FILLER,2086,113038,1839,113510,2024,113040
66581,FILLER,2011,113680,1938,113087,1899,113108
90392,FILLER,2419,154260,2558,153412,2695,153385
90392,FILLER,2292,153253,2370,153323,2520,153891
90392,FILLER,2566,154254,2350,153771,2304,154461
122626,FILLER,2859,208758,2881,208509,2625,208534
122626,FILLER,2674,208436,2613,208600,2848,208293
122626,FILLER,2906,207943,2566,207730,2871,208014
166231,FILLER,3084,283188,2997,282115,3005,282622
166231,FILLER,3069,282407,3027,282489,3025,282133
166231,FILLER,3087,282556,2974,282794,3003,282293
225177,FILLER,3285,382562,3279,383411,3210,382828
225177,FILLER,3233,382830,3194,383644,3297,383521
225177,FILLER,3307,382454,3193,381514,3292,382744
304800,FILLER,3316,517723,3309,517897,3329,518612
304800,FILLER,3303,517879,3329,517451,3303,519206
304800,FILLER,3310,518780,3357,517598,3301,518628
