GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,725,1293,727,1297,711,1273
327,num_simulations=3,639,1207,783,1338,767,1315
327,sheet=7,742,1300,779,1320,786,1305
450,scale=50,1011,1775,951,1730,969,1731
450,cell_count=3400,983,1712,1018,1742,945,1679
450,muG=0,1012,1769,965,1723,1018,1772
619,sigmaG=1,1271,2281,1237,2226,1264,2271
619,muR=12,1240,2264,1249,2242,1291,2258
619,sigmaR=1,1284,2272,1262,2269,1353,2331
850,gamma=0.45,1614,2936,1657,2985,1617,2976
850,vMax=800.0,1636,3043,1648,2984,1674,3047
850,remove=1,1626,2972,1604,2964,1660,2998
1166,kappa=-3.0,1996,3793,2027,3858,1958,3743
1166,FILLER,2011,3812,2032,3829,2015,3801
1166,FILLER,1960,3789,1959,3722,2044,3847
1600,FILLER,2425,4820,2321,4737,2407,4806
1600,FILLER,2358,4809,2355,4787,2375,4865
1600,FILLER,2362,4807,2380,4805,2348,4830
2192,FILLER,2721,5888,2703,5957,2680,5971
2192,FILLER,2656,5957,2719,5976,2684,5966
2192,FILLER,2669,5936,2665,5951,2719,5982
3002,FILLER,2928,7358,2955,7288,2918,7336
3002,FILLER,2948,7343,2909,7344,2933,7270
3002,FILLER,2926,7289,2955,7362,2947,7338
4106,FILLER,3116,8937,3115,8937,3111,8983
4106,FILLER,3123,8957,3100,8995,3110,8966
4106,FILLER,3109,8921,3116,9107,3106,8966
5614,FILLER,3212,11249,3208,11317,3209,11020
5614,FILLER,3223,11309,3215,11190,3203,11027
5614,FILLER,3208,11132,3235,11269,3219,11531
7668,FILLER,3300,15153,3301,15744,3304,16408
7668,FILLER,3277,14401,3294,16474,3267,16097
7668,FILLER,3283,14948,3289,14654,3290,16562
10466,FILLER,3340,23198,3343,20036,3324,22379
10466,FILLER,3336,22992,3336,21971,3343,22193
10466,FILLER,3335,20025,3331,24999,3335,22532
14274,FILLER,3364,33373,3372,31461,3367,35603
14274,FILLER,3363,31777,3364,30699,3357,34027
14274,FILLER,3361,34533,3365,30732,3363,32272
19452,FILLER,3379,50579,3381,50690,3380,52133
19452,FILLER,3380,43434,3382,50847,3384,41961
19452,FILLER,3377,49882,3383,49807,3382,45923
26488,FILLER,3389,69030,3390,73872,3392,74312
26488,FILLER,3387,74039,3391,69768,3393,70626
26488,FILLER,3385,73436,3390,68650,3389,71376
36043,FILLER,3394,103996,3397,101448,3395,104758
36043,FILLER,3395,106611,3393,98718,3397,107420
36043,FILLER,3398,103945,3395,98231,3396,108211
49006,FILLER,3398,145565,3399,151607,3399,131998
49006,FILLER,3396,153889,3399,154691,3398,148040
49006,FILLER,3400,149654,3397,151012,3396,138927
66581,FILLER,3400,216394,3399,222963,3400,216537
66581,FILLER,3399,217627,3399,215032,3399,215147
66581,FILLER,3400,210495,3400,212156,3399,217240
90392,FILLER,3400,295023,3400,298564,3400,306827
90392,FILLER,3400,306757,3400,308342,3400,304483
90392,FILLER,3400,300932,3400,298018,3400,309378
122626,FILLER,3400,408782,3400,415297,3400,408569
122626,FILLER,3400,431543,3400,424508,3400,423813
122626,FILLER,3400,426043,3400,427526,3400,431157
166231,FILLER,3400,584164,3400,582807,3400,595950
166231,FILLER,3400,598156,3400,588127,3400,593423
166231,FILLER,3400,598484,3400,594347,3400,560526
225177,FILLER,3400,832418,3400,820310,3400,810281
225177,FILLER,3400,827324,3400,816569,3400,833375
225177,FILLER,3400,817940,3400,816229,3400,839223
304800,FILLER,3400,1154301,3400,1136562,3400,1141191
304800,FILLER,3400,1152039,3400,1152560,3400,1125864
304800,FILLER,3400,1140830,3400,1146278,3400,1161299
