GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
165,simul_name=null,0,35,0,38,0,44,1,39,0,36,0,40,0,35,0,43,0,42,0,33
165,num_simulations=10,1,28,0,35,0,32,0,46,0,42,0,42,0,42,0,30,1,38,0,43
165,sheet=3,0,52,2,44,0,34,0,34,0,51,0,31,0,53,0,41,0,33,0,34
210,scale=10,0,59,0,46,0,45,1,52,0,47,0,47,1,46,0,58,0,50,0,34
210,cell_count=23000,0,38,0,60,1,45,1,43,0,47,1,43,0,47,0,60,1,52,0,61
210,muG=0,0,44,0,55,1,51,0,46,0,55,0,52,0,49,0,61,0,46,0,38
417,sigmaG=1,1,101,1,81,0,88,0,100,1,101,1,106,2,100,0,106,0,101,0,74
417,muR=12,1,87,0,129,0,97,1,91,0,109,0,94,0,99,0,91,1,112,0,81
417,sigmaR=1,1,117,1,88,2,103,0,85,1,98,1,105,1,86,1,93,0,95,0,92
840,gamma=0.45,2,213,0,191,1,191,0,179,1,171,0,207,1,203,2,200,1,189,0,189
840,vMax=100000.0,1,196,0,182,3,189,2,194,1,179,0,210,0,179,3,184,3,191,1,206
840,remove=1,0,198,0,193,1,197,1,190,2,207,1,176,1,184,2,208,0,198,2,209
1650,b=0.0,0,403,1,384,4,407,2,376,3,388,2,386,1,356,3,371,1,376,1,356
1650,FILLER,2,383,1,380,2,370,2,346,3,366,3,382,0,394,2,395,4,392,3,392
1650,FILLER,3,386,2,371,5,403,2,385,2,391,3,398,1,375,1,385,1,370,3,365
3330,FILLER,2,782,4,768,7,722,5,746,4,742,5,788,7,756,2,750,5,730,4,751
3330,FILLER,4,767,7,782,5,781,8,741,3,789,8,811,2,777,9,789,4,806,3,771
3330,FILLER,3,712,3,770,7,751,4,767,4,707,2,735,4,782,2,721,5,809,0,732
6600,FILLER,11,1543,7,1474,8,1503,10,1483,10,1539,7,1500,7,1523,5,1584,4,1463,13,1523
6600,FILLER,12,1544,8,1527,7,1506,9,1507,7,1511,13,1503,12,1568,10,1519,7,1595,8,1466
6600,FILLER,9,1491,14,1572,9,1403,12,1500,9,1487,7,1573,10,1554,5,1468,9,1555,8,1428
13200,FILLER,20,3027,21,3036,22,2998,8,2955,22,3006,19,2994,22,3028,23,3036,13,3046,20,3214
13200,FILLER,11,2956,16,3022,11,3096,11,3054,8,2986,17,3168,24,3029,21,3181,18,2996,12,3030
13200,FILLER,17,3078,14,2943,19,3088,19,3085,13,2984,21,3004,26,3058,17,3040,23,3066,15,3065
20100,FILLER,29,4666,23,4782,24,4696,21,4729,22,4685,26,4766,18,4702,27,4693,25,4549,36,4737
20100,FILLER,18,4514,24,4661,21,4678,27,4602,32,4628,22,4546,28,4508,18,4631,30,4715,33,4615
20100,FILLER,20,4760,27,4628,27,4600,30,4680,31,4572,21,4624,16,4589,26,4645,29,4722,31,4554
26700,FILLER,33,6189,35,6021,40,6236,36,6169,31,6135,41,6204,41,6100,29,6094,33,6150,35,6139
26700,FILLER,34,6134,23,6326,32,6213,34,6237,41,6162,30,6299,28,6137,39,6194,42,6196,38,6125
26700,FILLER,34,6087,23,6121,27,6187,40,6169,31,6169,36,6072,29,6201,26,6128,28,6209,38,6196
33300,FILLER,33,7623,38,7676,39,7761,44,7675,40,7794,41,7716,42,7620,54,7542,42,7668,56,7531
33300,FILLER,40,7750,46,7692,39,7580,40,7572,48,7701,35,7687,32,7711,43,7541,41,7672,45,7839
33300,FILLER,39,7618,40,7645,48,7744,50,7644,46,7736,38,7814,43,7672,41,7649,40,7774,48,7551
39900,FILLER,55,9034,59,9315,59,9354,51,9267,55,9289,46,9228,43,9299,60,9218,56,9247,49,9269
39900,FILLER,41,8892,53,9145,44,9116,52,9082,55,9228,58,9268,44,9032,37,9025,54,9223,42,9062
