GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2,GFP IU run=3,GFP IU run=4,GFP IU run=5,GFP IU run=6,GFP IU run=7,GFP IU run=8,GFP IU run=9
33,simul_name=null,2,5,3,3,4,5,5,0,3,4
33,num_simulations=10,3,4,2,2,0,1,6,1,2,2
33,sheet=3,3,3,4,4,0,1,3,2,4,5
42,scale=50,6,2,4,4,3,4,3,2,5,2
42,cell_count=4600,3,4,4,3,3,1,5,11,1,1
42,muG=0,2,5,4,7,6,0,2,2,2,6
83,sigmaG=1,6,5,2,5,5,5,4,2,2,2
83,muR=12,3,6,3,5,3,4,1,6,3,4
83,sigmaR=1,2,2,2,3,2,6,3,2,3,2
168,gamma=0.45,10,9,9,5,3,3,3,10,8,4
168,vMax=1600.0,3,2,9,7,4,7,7,4,9,6
168,remove=1,3,1,6,5,5,6,5,4,5,5
330,b=0.1,11,6,12,7,7,7,10,5,3,8
330,FILLER,6,8,6,8,4,7,6,8,11,6
330,FILLER,10,8,8,8,3,6,9,4,7,9
666,FILLER,16,8,14,5,14,19,11,15,13,12
666,FILLER,12,13,13,15,19,15,10,11,18,13
666,FILLER,17,15,7,12,12,18,17,13,15,16
1320,FILLER,28,19,20,25,20,23,28,19,24,26
1320,FILLER,19,27,22,30,25,21,22,22,23,21
1320,FILLER,23,22,25,23,18,21,22,20,22,30
2640,FILLER,44,38,47,38,46,34,45,53,50,57
2640,FILLER,45,43,43,35,42,40,53,35,48,44
2640,FILLER,44,50,38,43,42,32,42,49,38,46
4020,FILLER,60,60,57,77,65,61,52,62,64,59
4020,FILLER,62,59,65,68,72,72,75,62,67,52
4020,FILLER,70,68,67,67,53,62,68,72,60,60
5340,FILLER,93,97,72,65,85,82,73,67,90,88
5340,FILLER,79,70,85,86,83,77,86,87,74,86
5340,FILLER,81,87,88,71,87,96,76,96,79,88
6659,FILLER,101,102,125,100,97,109,108,106,113,96
6659,FILLER,102,105,118,86,121,102,112,100,99,95
6659,FILLER,103,102,110,100,107,96,121,103,95,103
7980,FILLER,138,138,124,125,122,131,118,124,117,121
7980,FILLER,125,149,126,117,110,147,120,135,122,115
7980,FILLER,133,142,116,135,113,121,146,133,147,119
9359,FILLER,135,147,146,115,134,134,149,129,149,141
9359,FILLER,140,154,145,142,146,135,162,145,136,116
9359,FILLER,138,149,151,125,145,154,142,137,149,151
10680,FILLER,158,168,178,150,158,172,195,186,170,156
10680,FILLER,190,159,162,183,139,172,166,139,158,180
10680,FILLER,175,201,159,191,169,166,157,167,170,164
12000,FILLER,195,194,165,193,191,180,190,165,191,175
12000,FILLER,196,179,191,199,180,198,204,186,191,183
12000,FILLER,196,189,184,181,191,195,176,190,182,174
13200,FILLER,199,220,194,190,199,204,170,211,198,220
13200,FILLER,211,208,194,205,208,222,185,201,190,219
13200,FILLER,235,213,221,168,222,192,209,208,200,176
33000,FILLER,542,515,503,476,484,490,498,452,477,508
33000,FILLER,479,510,513,464,491,493,473,446,442,496
33000,FILLER,479,474,501,541,493,481,484,500,512,473
61140,FILLER,822,881,839,852,827,856,922,854,846,848
61140,FILLER,824,876,855,839,846,843,851,813,875,826
61140,FILLER,874,900,860,853,882,858,863,874,863,857
100199,FILLER,1279,1338,1334,1350,1260,1339,1325,1331,1279,1279
100199,FILLER,1283,1346,1297,1286,1337,1277,1359,1309,1343,1325
100199,FILLER,1333,1293,1288,1306,1283,1334,1258,1336,1322,1355
133260,FILLER,1637,1670,1608,1640,1603,1626,1619,1615,1558,1628
133260,FILLER,1647,1639,1667,1620,1628,1629,1612,1635,1628,1653
133260,FILLER,1618,1600,1582,1585,1615,1662,1665,1634,1685,1630
199799,FILLER,2117,2205,2149,2225,2228,2235,2220,2169,2217,2198
199799,FILLER,2135,2089,2163,2221,2181,2144,2216,2196,2094,2184
199799,FILLER,2172,2201,2243,2240,2182,2167,2151,2196,2120,2181
266358,FILLER,2622,2650,2548,2628,2617,2563,2592,2601,2608,2592
266358,FILLER,2667,2618,2596,2617,2625,2595,2559,2593,2597,2591
266358,FILLER,2639,2595,2569,2645,2629,2635,2602,2625,2570,2606
300000,FILLER,2799,2845,2850,2790,2825,2830,2806,2804,2777,2721
300000,FILLER,2818,2763,2772,2810,2784,2777,2816,2778,2799,2804
300000,FILLER,2742,2825,2759,2843,2845,2763,2810,2791,2791,2789
