GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=null,33,6839,46,6991,53,6961,35,6831,35,6894,40,7093,35,6952,35,6960,39,6894,44,6950
1636,num_simulations=10,37,6981,35,7126,46,6954,46,6884,53,6976,30,6855,38,6913,56,7095,33,6881,47,6966
1636,sheet=7,37,6804,40,7093,43,7077,38,7017,45,7097,48,7061,34,6828,46,7079,39,6873,36,6924
2251,scale=10,45,9530,57,9668,43,9489,52,9644,54,9620,45,9600,56,9425,55,9580,48,9645,53,9521
2251,cell_count=17000,51,9583,52,9641,53,9643,54,9498,50,9497,57,9575,58,9613,67,9618,63,9615,50,9753
2251,muG=0,47,9528,41,9440,67,9535,56,9641,53,9537,61,9472,57,9625,64,9494,37,9397,53,9603
3095,sigmaG=1,79,13237,71,13229,61,13317,83,13110,65,13320,78,13220,68,13081,75,13293,67,13283,83,13062
3095,muR=12,78,13308,80,13097,85,13050,72,13105,90,13010,70,13240,78,12989,47,13029,66,13339,81,13240
3095,sigmaR=1,64,12953,80,13251,62,12993,57,13017,75,13078,74,13146,71,13139,51,12897,72,13336,71,12990
4251,gamma=0.45,95,18190,91,17961,92,18115,99,18213,100,18021,108,17976,90,17657,110,17941,119,18161,107,18266
4251,vMax=4000.0,108,18126,98,17995,95,17881,119,18195,106,18103,93,17973,103,17894,103,18029,96,17853,104,18029
4251,remove=1,79,18160,83,18082,110,18184,121,17998,97,18341,116,18212,89,18137,97,17922,92,17930,124,18132
5834,b=0.0,140,24980,136,24904,138,24495,131,24721,132,24811,145,24654,129,24793,134,24737,146,24657,129,24745
5834,FILLER,130,24878,122,24693,140,24916,134,24816,120,24705,127,24905,126,24593,127,24925,139,24771,151,24632
5834,FILLER,142,24582,124,24580,143,24649,127,24656,156,24694,128,24818,139,24787,151,24654,144,24721,171,24672
8001,FILLER,184,33893,179,34076,164,33927,197,34260,170,34098,196,34084,182,34111,181,34012,192,33661,216,33989
8001,FILLER,180,34126,204,34387,213,33895,204,34055,191,34073,186,34353,214,34237,216,33894,206,34327,183,34230
8001,FILLER,180,34195,188,33962,175,33947,182,34209,192,34043,179,33853,183,33671,173,33985,157,33697,176,33877
10963,FILLER,248,46362,274,46539,273,46693,253,46684,273,46278,280,46521,238,46821,236,46758,261,46547,281,46518
10963,FILLER,216,46244,226,46674,262,46677,243,46409,243,46524,249,46450,230,46442,249,46355,283,46502,286,46744
10963,FILLER,244,46333,243,46295,257,46922,246,46259,260,46657,258,46646,233,46484,243,46268,271,46170,258,46444
15010,FILLER,368,64228,341,63480,328,63414,307,63617,335,63358,323,64198,344,63425,337,63747,342,63718,315,63805
15010,FILLER,338,63965,352,63798,327,63650,341,63955,335,64009,347,63534,324,63137,339,63762,351,63960,361,63913
15010,FILLER,361,63678,333,63571,333,63339,343,63280,370,64223,341,63520,364,63677,343,63908,359,63938,352,64250
20534,FILLER,486,87066,486,87276,454,87335,486,87343,509,87802,472,87444,445,87313,465,87436,504,87394,480,87605
20534,FILLER,464,87085,488,87505,466,87532,486,87287,460,86994,475,87284,450,87473,471,87190,477,87431,485,87636
20534,FILLER,457,87177,480,87083,475,87526,488,87134,486,86846,457,86701,478,87330,480,87327,468,87380,463,87068
28070,FILLER,657,119521,650,119609,664,120088,635,119401,645,119932,645,119134,632,119036,623,119737,687,118682,610,119374
28070,FILLER,629,119682,645,119345,604,118990,655,118643,637,118970,594,119867,638,119477,614,119893,634,119562,675,119360
28070,FILLER,648,119002,660,119199,621,118959,629,119138,588,119509,660,119854,629,119470,694,119223,662,119236,629,119386
38342,FILLER,882,162701,858,163496,880,163424,955,163697,886,163270,896,163925,838,162958,889,163043,881,162905,860,162708
38342,FILLER,842,162683,907,162790,880,162363,860,162761,872,162602,880,162692,832,162599,842,163336,859,163244,879,162987
38342,FILLER,902,161948,821,163460,884,163071,874,162717,890,163339,893,162708,838,163044,990,162755,888,162896,863,163013
52332,FILLER,1218,222741,1137,223268,1184,222360,1125,221934,1204,222012,1202,223078,1215,222480,1194,222744,1213,222240,1157,222424
52332,FILLER,1170,222022,1166,221248,1127,222316,1192,223182,1203,222791,1223,222106,1158,223269,1199,222413,1182,222657,1232,222289
52332,FILLER,1196,221837,1197,223184,1199,222105,1206,223164,1190,222697,1189,221959,1219,222312,1087,221617,1163,223460,1124,223468
71371,FILLER,1634,303314,1584,304041,1568,303822,1560,302754,1562,303287,1589,303663,1599,303636,1585,302800,1663,303244,1558,303106
71371,FILLER,1529,303550,1635,303471,1571,303013,1599,303195,1548,303587,1554,303409,1557,304066,1610,303683,1634,303191,1540,302956
71371,FILLER,1541,303332,1546,302882,1568,303483,1641,304827,1700,303904,1552,302575,1574,303374,1576,303729,1612,302938,1578,303493
97262,FILLER,2098,412330,2083,413647,2081,413264,2154,413640,2173,412903,2113,412178,2169,412905,2141,412247,2128,413154,2162,413775
97262,FILLER,2056,412375,2093,413426,2019,414333,2066,413348,2162,412667,2128,413111,2200,412177,2085,413800,2109,412242,2081,413293
97262,FILLER,2126,414411,2110,414587,2173,413890,2120,413041,2108,412471,2092,412591,2156,413681,2121,413113,2030,412641,2105,414060
132444,FILLER,2847,563190,2802,563587,2806,563115,2862,564294,2782,562092,2743,562099,2808,563341,2843,562382,2781,560688,2779,564114
132444,FILLER,2829,563934,2801,561421,2776,561600,2784,563033,2828,563951,2779,562893,2755,562857,2758,564258,2797,563560,2807,562238
