GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2,GFP IU run=3,GFP IU run=4
327,simul_name=null,12,5,4,13,15
327,num_simulations=5,10,7,10,12,6
327,sheet=6,4,7,8,10,14
450,scale=50,13,10,15,7,8
450,cell_count=3400,14,19,13,16,12
450,muG=0,10,9,12,10,12
619,sigmaG=1,19,6,11,15,12
619,muR=12,18,12,8,16,21
619,sigmaR=1,11,17,23,14,16
850,gamma=0.45,27,23,29,28,18
850,vMax=800.0,19,25,21,21,22
850,b=0.1,14,18,19,23,26
1166,FILLER,29,36,35,29,31
1166,FILLER,23,23,31,24,33
1166,FILLER,24,27,40,34,28
1600,FILLER,37,45,38,36,37
1600,FILLER,35,42,46,37,38
1600,FILLER,31,43,48,38,31
2192,FILLER,44,60,51,35,53
2192,FILLER,58,55,45,51,46
2192,FILLER,60,45,44,44,61
3002,FILLER,70,65,80,65,64
3002,FILLER,71,81,74,68,72
3002,FILLER,76,64,69,62,66
4106,FILLER,91,86,90,93,93
4106,FILLER,76,103,67,96,106
4106,FILLER,94,86,108,90,108
5614,FILLER,109,132,141,135,131
5614,FILLER,119,123,136,100,154
5614,FILLER,127,125,131,121,129
7668,FILLER,194,179,179,174,171
7668,FILLER,171,173,160,185,171
7668,FILLER,168,182,187,160,163
10466,FILLER,213,230,250,227,210
10466,FILLER,241,220,212,229,249
10466,FILLER,233,225,224,233,211
14274,FILLER,302,317,323,329,308
14274,FILLER,312,324,327,286,294
14274,FILLER,304,338,326,315,366
19452,FILLER,430,411,406,408,394
19452,FILLER,409,414,432,396,443
19452,FILLER,446,442,426,410,420
26488,FILLER,574,527,535,592,560
26488,FILLER,592,578,528,532,528
26488,FILLER,580,558,573,575,581
36043,FILLER,689,722,735,744,750
36043,FILLER,750,700,737,712,705
36043,FILLER,739,736,711,758,714
49006,FILLER,953,972,973,939,945
49006,FILLER,941,919,959,936,972
49006,FILLER,957,967,924,997,915
66581,FILLER,1171,1226,1172,1196,1223
66581,FILLER,1187,1167,1197,1188,1195
66581,FILLER,1204,1202,1191,1182,1191
90392,FILLER,1517,1480,1465,1458,1473
90392,FILLER,1553,1510,1500,1547,1473
90392,FILLER,1486,1530,1475,1492,1547
122626,FILLER,1845,1826,1831,1839,1913
122626,FILLER,1806,1827,1815,1835,1842
122626,FILLER,1868,1806,1804,1855,1844
166231,FILLER,2117,2136,2181,2131,2177
166231,FILLER,2153,2226,2186,2173,2182
166231,FILLER,2124,2179,2168,2156,2155
225177,FILLER,2510,2504,2510,2509,2499
225177,FILLER,2524,2483,2523,2479,2491
225177,FILLER,2500,2495,2497,2510,2503
304800,FILLER,2825,2832,2825,2816,2810
304800,FILLER,2784,2837,2830,2746,2829
304800,FILLER,2793,2813,2803,2815,2829
