GFP genomes (scaled),GFP IU run=0,total_interactions run=0,Parameters,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,11,1829,simul_name=null,17,1736,17,1813
327,8,1714,num_simulations=3,9,1652,9,1713
327,5,1684,sheet=7,9,1711,13,1724
450,15,2269,scale=50,18,2295,15,2239
450,15,2283,cell_count=3400,10,2196,16,2278
450,12,2213,muG=0,8,2273,12,2321
619,18,2864,sigmaG=1,14,2993,22,2964
619,19,3016,muR=12,20,2874,14,3073
619,15,3022,sigmaR=1,21,2961,13,2955
850,22,3849,gamma=0.45,28,4026,17,3894
850,22,3881,vMax=800.0,19,3917,22,3908
850,19,3907,remove=1,29,3831,20,3881
1166,35,5289,b=0.1,32,5337,38,5329
1166,35,5284,FILLER,26,5464,26,5286
1166,33,5426,FILLER,20,5277,33,5237
1600,40,7116,FILLER,30,7130,42,7168
1600,33,7055,FILLER,30,7249,39,7106
1600,35,7189,FILLER,40,7018,30,7263
2192,65,9872,FILLER,59,9586,67,9718
2192,56,9621,FILLER,45,9792,56,9660
2192,50,9601,FILLER,55,9500,47,9763
3002,86,13177,FILLER,70,13097,67,13093
3002,71,12928,FILLER,70,13007,79,13201
3002,72,12951,FILLER,75,13212,77,13289
4106,86,17596,FILLER,104,17804,92,17833
4106,93,17742,FILLER,101,17639,93,17909
4106,90,17751,FILLER,97,17633,100,17873
5614,133,24220,FILLER,144,24253,127,24257
5614,124,24072,FILLER,143,24359,123,24024
5614,95,24212,FILLER,135,24489,122,24252
7668,182,32543,FILLER,183,33047,176,32705
7668,206,33118,FILLER,166,33063,165,32895
7668,164,32632,FILLER,158,32811,189,32844
10466,196,44961,FILLER,260,44908,218,44655
10466,207,44905,FILLER,238,45121,217,44880
10466,236,45050,FILLER,240,44758,231,44255
14274,329,60812,FILLER,329,60844,348,61186
14274,321,60961,FILLER,316,61345,324,61482
14274,298,61129,FILLER,294,60793,312,61451
19452,397,83172,FILLER,428,83385,422,82915
19452,448,82580,FILLER,473,82742,411,82480
19452,418,82412,FILLER,439,83192,438,83198
26488,517,112722,FILLER,533,112492,559,113474
26488,530,112636,FILLER,567,113216,581,112418
26488,565,112906,FILLER,552,112687,534,112924
36043,716,153644,FILLER,806,153690,698,153536
36043,732,152767,FILLER,728,153284,745,153873
36043,720,153543,FILLER,707,153055,756,153595
49006,950,208595,FILLER,948,207982,962,208499
49006,917,209030,FILLER,952,208761,982,208766
49006,907,209046,FILLER,929,208497,1009,208872
66581,1199,283726,FILLER,1167,283477,1200,282929
66581,1232,283694,FILLER,1175,283139,1257,283944
66581,1221,282219,FILLER,1215,283015,1213,282886
90392,1555,384247,FILLER,1511,384913,1485,384028
90392,1516,385488,FILLER,1525,384328,1511,385208
90392,1497,384375,FILLER,1531,385293,1509,383440
122626,1833,522005,FILLER,1800,521234,1862,520957
122626,1829,521961,FILLER,1851,521747,1822,521356
122626,1835,520978,FILLER,1777,520457,1827,521741
166231,2260,706226,FILLER,2223,707168,2144,708795
166231,2221,705242,FILLER,2242,706505,2126,706792
166231,2176,706996,FILLER,2208,705656,2187,706310
225177,2553,957310,FILLER,2514,958168,2515,957590
225177,2556,958509,FILLER,2503,956523,2512,956921
225177,2532,956905,FILLER,2494,957972,2542,956175
304800,2762,1294375,FILLER,2785,1293273,2811,1296969
304800,2795,1294474,FILLER,2810,1294798,2811,1297611
304800,2821,1295390,FILLER,2837,1296270,2834,1296394
