GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
16,simul_name=var_clump_diam,0,94,2,648,0,49
16,num_simulations=3,1,124,0,124,0,37
16,sheet=3,0,64,0,90,0,40
21,scale=100,2,192,2,175,1,152
21,cell_count=2300,0,70,0,164,0,75
21,muG=0,2,284,2,191,0,49
41,sigmaG=1,1,313,0,123,1,213
41,muR=12,0,491,1,172,6,965
41,sigmaR=1,0,143,0,269,0,241
84,gamma=0.45,4,655,1,495,8,1120
84,vMax=1000.0,4,759,3,641,4,511
84,remove=1,7,884,6,890,3,538
165,scheme=sphere_packing,5,914,10,1017,13,1343
165,distribution=fixed,5,1115,10,1967,8,1533
165,ub=300,6,1217,6,864,9,1162
333,lb=150,15,4607,12,2304,13,2398
333,mean=230,8,1578,18,3390,16,3610
333,diameter_func=constant,22,3578,22,3858,15,3168
660,mean_clump_diam=173.884,34,5749,27,5974,24,4685
660,FILLER,33,6352,25,5943,26,4824
660,FILLER,29,4941,43,6634,35,7549
1320,FILLER,52,13494,77,15022,69,13909
1320,FILLER,60,10754,69,11979,55,11360
1320,FILLER,69,9991,56,11789,64,14917
2010,FILLER,105,17462,66,15764,83,18440
2010,FILLER,93,14317,93,15896,96,18283
2010,FILLER,112,19933,92,17170,107,18423
2670,FILLER,120,25757,121,23276,126,23297
2670,FILLER,148,25151,151,25327,135,25856
2670,FILLER,133,26024,114,26870,116,24996
3329,FILLER,158,31152,159,29885,157,27568
3329,FILLER,152,30291,165,32144,124,27291
3329,FILLER,152,28542,166,33280,155,30753
3990,FILLER,167,34475,185,36028,158,32440
3990,FILLER,179,36122,144,29480,195,38120
3990,FILLER,200,38761,184,37304,163,31198
4679,FILLER,194,41181,203,40497,172,41853
4679,FILLER,173,35878,223,44979,192,41485
4679,FILLER,203,43880,223,43190,211,42016
5340,FILLER,201,44395,252,47940,262,49608
5340,FILLER,270,59995,224,46967,276,56692
5340,FILLER,239,47034,237,48952,243,47814
6000,FILLER,263,56073,292,62245,249,53825
6000,FILLER,289,60659,250,53859,337,56026
6000,FILLER,269,54775,252,52848,298,60420
6600,FILLER,278,57135,319,67606,304,65540
6600,FILLER,303,62301,288,57041,271,55380
6600,FILLER,307,62476,294,59475,262,55317
16500,FILLER,620,148817,659,151318,603,140821
16500,FILLER,700,150108,655,146904,663,134936
16500,FILLER,693,157940,607,145310,644,147634
30570,FILLER,1020,275156,1035,275027,1011,264006
30570,FILLER,1011,267304,1058,283415,1031,272919
30570,FILLER,1015,269120,1074,277093,1022,275865
50099,FILLER,1397,447485,1382,439759,1414,453452
50099,FILLER,1420,442977,1401,430328,1378,443869
50099,FILLER,1409,468243,1468,456038,1356,435603
66630,FILLER,1582,595827,1644,603102,1582,570244
66630,FILLER,1593,585151,1602,592676,1622,593925
66630,FILLER,1551,586126,1578,568796,1627,615526
99899,FILLER,1904,912828,1909,879305,1885,898274
99899,FILLER,1883,880179,1902,890025,1871,876139
99899,FILLER,1898,892395,1859,866333,1880,897992
133179,FILLER,2066,1201391,2067,1189944,2074,1223374
133179,FILLER,2024,1189977,2049,1194593,2069,1195252
133179,FILLER,2062,1182281,2057,1232823,2065,1197866
150000,FILLER,2085,1346919,2111,1359340,2098,1336287
150000,FILLER,2100,1319177,2090,1323663,2090,1310892
150000,FILLER,2084,1358645,2086,1349393,2098,1314539
