GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
16,simul_name=var_clump_diam,0,102,2,59,0,57
16,num_simulations=3,0,29,0,223,1,57
16,sheet=3,0,145,1,220,1,76
21,scale=100,0,68,0,89,2,187
21,cell_count=2300,1,71,2,269,1,280
21,muG=0,0,64,0,92,0,310
41,sigmaG=1,0,192,0,103,1,109
41,muR=12,3,132,0,335,1,145
41,sigmaR=1,2,388,2,254,2,147
84,gamma=0.45,10,1375,3,400,14,1765
84,vMax=1000.0,8,2196,2,423,2,401
84,remove=1,3,367,1,420,5,964
165,scheme=sphere_packing,8,986,10,2261,3,708
165,distribution=fixed,6,1422,7,2369,4,696
165,ub=300,3,818,1,919,8,1185
333,lb=150,21,3907,19,4322,21,3510
333,mean=230,12,2344,20,2394,10,2333
333,vMaxD=1000.0,22,3710,23,3857,13,2871
660,FILLER,35,6645,20,3614,27,3532
660,FILLER,31,4924,29,3963,31,5869
660,FILLER,32,6605,20,4965,34,6738
1320,FILLER,48,9150,52,9322,54,9167
1320,FILLER,56,11076,58,10678,75,14922
1320,FILLER,48,11519,58,9727,58,11435
2010,FILLER,93,19081,86,18644,95,20399
2010,FILLER,84,18460,83,14179,118,19035
2010,FILLER,87,17770,84,17761,93,17218
2670,FILLER,135,28589,153,27696,98,22317
2670,FILLER,101,19807,112,23550,152,27734
2670,FILLER,121,22736,132,23451,116,23368
3329,FILLER,162,27622,167,32979,146,25488
3329,FILLER,157,29783,156,29950,163,31761
3329,FILLER,122,25923,137,28941,128,27327
3990,FILLER,211,38978,151,31772,177,36108
3990,FILLER,181,35793,184,38469,187,34410
3990,FILLER,158,35498,176,36158,180,33708
4679,FILLER,210,41534,201,40601,195,35095
4679,FILLER,211,41206,217,40590,212,40261
4679,FILLER,235,46205,230,43316,199,38823
5340,FILLER,221,48756,258,51302,227,46003
5340,FILLER,249,45976,247,46883,245,41011
5340,FILLER,255,48009,219,51169,224,48792
6000,FILLER,302,56823,216,43050,230,48503
6000,FILLER,279,55381,288,57187,265,51382
6000,FILLER,286,53025,262,53296,261,57157
6600,FILLER,278,57405,271,51692,271,57405
6600,FILLER,320,62552,316,65595,269,53340
6600,FILLER,286,58159,305,57528,282,55974
16500,FILLER,633,146190,641,142328,628,144361
16500,FILLER,627,153251,615,152579,614,144610
16500,FILLER,649,150367,635,142930,603,144589
30570,FILLER,994,262247,1048,275291,1003,269099
30570,FILLER,1020,261859,1008,273124,1013,275914
30570,FILLER,1033,276652,1022,274865,1024,274958
50099,FILLER,1331,420002,1356,433343,1394,443199
50099,FILLER,1367,428230,1350,452890,1392,442610
50099,FILLER,1407,450484,1410,448352,1339,430305
66630,FILLER,1601,584328,1618,588523,1586,576847
66630,FILLER,1533,587947,1596,570431,1600,593161
66630,FILLER,1649,603131,1623,574444,1637,579544
99899,FILLER,1889,869729,1897,870237,1895,869104
99899,FILLER,1887,871578,1884,891406,1875,857561
99899,FILLER,1881,873952,1899,867193,1867,855451
133179,FILLER,2043,1153931,2026,1160570,2036,1182005
133179,FILLER,2012,1157412,2039,1153745,2055,1161432
133179,FILLER,2051,1168132,2064,1177425,2045,1157166
150000,FILLER,2123,1336987,2096,1315643,2104,1304336
150000,FILLER,2071,1281000,2076,1294872,2105,1318906
150000,FILLER,2097,1291572,2087,1312115,2092,1345617
